clock	watch	T_int	T_ext	T_set	Cp	Ci	Cd	Hp	Hi	Hd
20200714 141411	12.278	33.7	31.29	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141413	14.326	33.69	31.31	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141415	16.371	33.66	31.31	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141417	18.432	33.63	31.33	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141420	20.485	33.61	31.34	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141422	22.531	33.58	31.34	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141424	24.58	33.56	31.36	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141426	26.623	33.53	31.36	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141428	28.674	33.5	31.38	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141430	30.719	33.49	31.39	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141432	32.77	33.46	31.39	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141434	34.818	33.44	31.41	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141436	36.865	33.41	31.42	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141438	38.913	33.38	31.42	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141440	40.961	33.37	31.43	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141442	43.008	33.34	31.44	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141444	45.051	33.33	31.45	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141446	47.103	33.3	31.45	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141448	49.15	33.27	31.46	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141450	51.196	33.25	31.47	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141452	53.246	33.22	31.48	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141454	55.293	33.21	31.49	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141456	57.337	33.18	31.49	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141458	59.386	33.15	31.5	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141500	61.436	33.13	31.5	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141503	63.484	33.1	31.51	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141505	65.531	33.09	31.52	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141507	67.579	33.06	31.52	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141509	69.627	33.03	31.53	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141511	71.674	33.02	31.53	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141513	73.722	32.99	31.53	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141515	75.769	32.97	31.54	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141517	77.817	32.94	31.54	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141519	79.865	32.91	31.55	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141521	81.911	32.89	31.55	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141523	83.955	32.86	31.55	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141525	86.002	32.85	31.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141527	88.049	32.82	31.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141529	90.102	32.79	31.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141531	92.145	32.77	31.57	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141533	94.196	32.74	31.57	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141535	96.245	32.73	31.57	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141537	98.293	32.7	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141539	100.34	32.67	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141541	102.388	32.65	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141543	104.446	32.63	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141546	106.496	32.61	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141548	108.541	32.58	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141550	110.589	32.55	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141552	112.636	32.54	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141554	114.689	32.51	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141556	116.732	32.49	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141558	118.784	32.46	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141600	120.831	32.43	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141602	122.879	32.42	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141604	124.927	32.39	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141606	126.975	32.37	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141608	129.021	32.34	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141610	131.07	32.31	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141612	133.117	32.3	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141614	135.164	32.27	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141616	137.208	32.26	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141618	139.255	32.23	31.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141620	141.305	32.2	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141622	143.35	32.18	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141624	145.4	32.15	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141626	147.448	32.14	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141629	149.497	32.11	31.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141631	151.541	32.08	31.57	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141633	153.593	32.07	31.57	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141635	155.64	32.04	31.57	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141637	157.688	32.02	31.57	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141639	159.736	31.99	31.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141641	161.783	31.96	31.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141643	163.831	31.95	31.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141645	165.879	31.92	31.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141647	167.926	31.91	31.55	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141649	169.974	31.88	31.55	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141651	172.021	31.85	31.54	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141653	174.069	31.83	31.54	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141655	176.117	31.81	31.54	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141657	178.159	31.79	31.53	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141659	180.208	31.76	31.53	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141701	182.289	31.73	31.52	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141703	184.338	31.72	31.52	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141705	186.386	31.69	31.51	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141707	188.431	31.68	31.51	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141710	190.477	31.65	31.5	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141712	192.528	31.62	31.5	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141714	194.572	31.6	31.49	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141716	196.619	31.58	31.49	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141718	198.668	31.56	31.48	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141720	200.716	31.53	31.47	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141722	202.767	31.5	31.47	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141724	204.815	31.49	31.46	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141726	206.862	31.46	31.46	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141728	208.91	31.44	31.45	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 141730	210.958	31.41	31.44	30.0	1	0.0	0.0	0.5	0.0	0.0
