clock	watch	T_int	T_ext	T_set	Cp	Ci	Cd	Hp	Hi	Hd
20200714 133955	12.28	33.47	29.3	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 133957	14.328	33.53	29.32	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 133959	16.371	33.55	29.34	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134001	18.423	33.61	29.34	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134003	20.47	33.64	29.36	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134005	22.514	33.7	29.36	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134007	24.563	33.76	29.38	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134009	26.609	33.79	29.4	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134011	28.661	33.85	29.4	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134013	30.709	33.88	29.42	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134015	32.752	33.93	29.42	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134017	34.804	33.99	29.44	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134019	36.847	34.02	29.46	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134021	38.894	34.08	29.47	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134023	40.946	34.11	29.49	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134025	42.994	34.17	29.49	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134027	45.041	34.22	29.51	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134029	47.089	34.25	29.53	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134031	49.137	34.31	29.54	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134033	51.184	34.34	29.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134036	53.232	34.39	29.57	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134038	55.28	34.45	29.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134040	57.327	34.48	29.61	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134042	59.375	34.53	29.62	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134044	61.423	34.55	29.64	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134046	63.469	34.6	29.65	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134048	65.518	34.64	29.67	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134050	67.565	34.67	29.69	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134052	69.613	34.7	29.7	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134054	71.661	34.72	29.72	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134056	73.708	34.76	29.73	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134058	75.756	34.79	29.75	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134100	77.803	34.8	29.78	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134102	79.847	34.82	29.78	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134104	81.895	34.83	29.81	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134106	83.944	34.85	29.81	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134108	85.994	34.86	29.84	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134110	88.041	34.87	29.86	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134112	90.089	34.88	29.87	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134114	92.137	34.88	29.9	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134116	94.184	34.88	29.9	30.0	1	0.0	0.0	0.5	0.0	0.0
