clock	watch	T_int	T_ext	T_set	Cp	Ci	Cd	Hp	Hi	Hd
20200714 174043	12.272	34.92	30.41	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174045	14.319	34.91	30.44	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174047	16.372	34.88	30.45	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174049	18.419	34.84	30.48	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174051	20.467	34.83	30.51	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174053	22.514	34.8	30.51	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174055	24.562	34.78	30.55	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174057	26.61	34.75	30.55	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174059	28.657	34.72	30.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174101	30.705	34.7	30.62	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174103	32.752	34.67	30.62	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174105	34.8	34.66	30.65	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174107	36.847	34.63	30.66	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174109	38.895	34.6	30.69	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174111	40.943	34.58	30.72	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174113	42.986	34.55	30.73	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174115	45.033	34.54	30.76	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174117	47.08	34.51	30.77	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174119	49.131	34.48	30.79	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174122	51.177	34.46	30.82	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174124	53.224	34.43	30.83	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174126	55.276	34.42	30.86	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174128	57.324	34.39	30.87	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174130	59.371	34.36	30.89	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174132	61.418	34.34	30.92	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174134	63.466	34.31	30.93	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174136	65.514	34.3	30.95	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174138	67.556	34.27	30.96	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174140	69.609	34.24	30.99	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174142	71.656	34.22	31.01	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174144	73.704	34.19	31.02	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174146	75.752	34.17	31.05	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174148	77.799	34.14	31.05	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174150	79.847	34.11	31.08	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174152	81.895	34.09	31.11	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174154	83.942	34.06	31.11	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174156	85.989	34.04	31.14	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174158	88.035	34.01	31.14	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174200	90.082	33.98	31.16	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174202	92.129	33.96	31.19	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174205	94.18	33.93	31.2	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174207	96.224	33.91	31.22	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174209	98.271	33.88	31.22	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174211	100.318	33.85	31.24	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174213	102.371	33.83	31.26	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 174215	104.416	33.8	31.27	30.0	1	0.0	0.0	0.5	0.0	0.0
