	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
1	2/24/2020	5:06:56.000198	PM		1	1		Data	85	133	205	10000101	DCE	e	0	0	0	0	0	0	0	0.0	0.0
2	2/24/2020	5:06:56.090372	PM	0:00:00.090174	2	2		Data	86	134	206	10000110	DTE	f	0	0	0	0	0	0	0	0.0	0.0
3	2/24/2020	5:06:56.091756	PM	0:00:00.001384	3	3		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
4	2/24/2020	5:06:56.092803	PM	0:00:00.001047	4	4		Data	b0	176	260	10110000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
5	2/24/2020	5:06:56.093843	PM	0:00:00.001040	5	5		Data	52	82	122	01010010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
6	2/24/2020	5:06:56.094883	PM	0:00:00.001040	6	6		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
7	2/24/2020	5:06:56.096761	PM	0:00:00.001878	7	7		Data	46	70	106	01000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
8	2/24/2020	5:06:56.097801	PM	0:00:00.001040	8	8		Data	46	70	106	01000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
9	2/24/2020	5:06:56.098841	PM	0:00:00.001040	9	9		Data	46	70	106	01000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
10	2/24/2020	5:06:56.099881	PM	0:00:00.001040	10	10		Data	46	70	106	01000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
11	2/24/2020	5:06:56.100928	PM	0:00:00.001047	11	11		Data	c2	194	302	11000010	DCE	B	0	0	0	0	0	0	0	0.0	0.0
12	2/24/2020	5:06:56.102904	PM	0:00:00.001976	12	12		Data	c1	193	301	11000001	DCE	A	0	0	0	0	0	0	0	0.0	0.0
13	2/24/2020	5:06:56.103944	PM	0:00:00.001040	13	13		Data	83	131	203	10000011	DCE	c	0	0	0	0	0	0	0	0.0	0.0
14	2/24/2020	5:06:56.104990	PM	0:00:00.001046	14	14		Data	ea	234	352	11101010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
15	2/24/2020	5:06:56.200086	PM	0:00:00.095096	15	15		Data	86	134	206	10000110	DTE	f	0	0	0	0	0	0	0	0.0	0.0
16	2/24/2020	5:06:56.201444	PM	0:00:00.001358	16	16		Data	04	4	4	00000100	DCE	.	0	0	0	0	0	0	0	0.0	0.0
17	2/24/2020	5:06:56.309968	PM	0:00:00.108524	17	17		Data	85	133	205	10000101	DTE	e	0	0	0	0	0	0	0	0.0	0.0
18	2/24/2020	5:06:56.311963	PM	0:00:00.001995	18	18		Data	86	134	206	10000110	DCE	f	0	0	0	0	0	0	0	0.0	0.0
19	2/24/2020	5:06:56.317196	PM	0:00:00.005233	19	19		Data	02	2	2	00000010	DTE	.	0	0	0	0	0	0	0	0.0	0.0
20	2/24/2020	5:06:56.318242	PM	0:00:00.001046	20	20		Data	52	82	122	01010010	DTE	.	0	0	0	0	0	0	0	0.0	0.0
21	2/24/2020	5:06:56.319282	PM	0:00:00.001040	21	21		Data	83	131	203	10000011	DTE	c	0	0	0	0	0	0	0	0.0	0.0
22	2/24/2020	5:06:56.320322	PM	0:00:00.001040	22	22		Data	51	81	121	01010001	DTE	.	0	0	0	0	0	0	0	0.0	0.0
23	2/24/2020	5:06:56.325815	PM	0:00:00.005493	23	23		Data	86	134	206	10000110	DCE	f	0	0	0	0	0	0	0	0.0	0.0
24	2/24/2020	5:06:56.331048	PM	0:00:00.005233	24	24		Data	04	4	4	00000100	DTE	.	0	0	0	0	0	0	0	0.0	0.0
25	2/24/2020	5:06:56.332900	PM	0:00:00.001852	25	25		Data	85	133	205	10000101	DCE	e	0	0	0	0	0	0	0	0.0	0.0
26	2/24/2020	5:06:56.420033	PM	0:00:00.087133	26	26		Data	86	134	206	10000110	DTE	f	0	0	0	0	0	0	0	0.0	0.0
27	2/24/2020	5:06:56.422996	PM	0:00:00.002963	27	27		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
28	2/24/2020	5:06:56.424043	PM	0:00:00.001047	28	28		Data	b0	176	260	10110000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
29	2/24/2020	5:06:56.425083	PM	0:00:00.001040	29	29		Data	52	82	122	01010010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
30	2/24/2020	5:06:56.426123	PM	0:00:00.001040	30	30		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
31	2/24/2020	5:06:56.427163	PM	0:00:00.001040	31	31		Data	46	70	106	01000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
32	2/24/2020	5:06:56.428937	PM	0:00:00.001774	32	32		Data	46	70	106	01000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
33	2/24/2020	5:06:56.429977	PM	0:00:00.001040	33	33		Data	46	70	106	01000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
34	2/24/2020	5:06:56.431017	PM	0:00:00.001040	34	34		Data	46	70	106	01000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
35	2/24/2020	5:06:56.432057	PM	0:00:00.001040	35	35		Data	c2	194	302	11000010	DCE	B	0	0	0	0	0	0	0	0.0	0.0
36	2/24/2020	5:06:56.433104	PM	0:00:00.001047	36	36		Data	c1	193	301	11000001	DCE	A	0	0	0	0	0	0	0	0.0	0.0
37	2/24/2020	5:06:56.435080	PM	0:00:00.001976	37	37		Data	83	131	203	10000011	DCE	c	0	0	0	0	0	0	0	0.0	0.0
38	2/24/2020	5:06:56.436120	PM	0:00:00.001040	38	38		Data	ea	234	352	11101010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
39	2/24/2020	5:06:56.530006	PM	0:00:00.093886	39	39		Data	86	134	206	10000110	DTE	f	0	0	0	0	0	0	0	0.0	0.0
40	2/24/2020	5:06:56.533516	PM	0:00:00.003510	40	40		Data	04	4	4	00000100	DCE	.	0	0	0	0	0	0	0	0.0	0.0
41	2/24/2020	5:06:56.640240	PM	0:00:00.106724	41	41		Data	85	133	205	10000101	DTE	e	0	0	0	0	0	0	0	0.0	0.0
42	2/24/2020	5:06:56.641429	PM	0:00:00.001189	42	42		Data	86	134	206	10000110	DCE	f	0	0	0	0	0	0	0	0.0	0.0
43	2/24/2020	5:06:56.646674	PM	0:00:00.005245	43	43		Data	02	2	2	00000010	DTE	.	0	0	0	0	0	0	0	0.0	0.0
44	2/24/2020	5:06:56.647721	PM	0:00:00.001047	44	44		Data	52	82	122	01010010	DTE	.	0	0	0	0	0	0	0	0.0	0.0
45	2/24/2020	5:06:56.648761	PM	0:00:00.001040	45	45		Data	83	131	203	10000011	DTE	c	0	0	0	0	0	0	0	0.0	0.0
46	2/24/2020	5:06:56.649801	PM	0:00:00.001040	46	46		Data	51	81	121	01010001	DTE	.	0	0	0	0	0	0	0	0.0	0.0
47	2/24/2020	5:06:56.653200	PM	0:00:00.003399	47	47		Data	86	134	206	10000110	DCE	f	0	0	0	0	0	0	0	0.0	0.0
48	2/24/2020	5:06:56.658446	PM	0:00:00.005246	48	48		Data	04	4	4	00000100	DTE	.	0	0	0	0	0	0	0	0.0	0.0
