	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
1	2/24/2020	5:14:40.044520	PM		1	1		Data	04	4	4	00000100	DTE	.	1	1	1	1	0	0	0	0.0	0.0
2	2/24/2020	5:14:40.045567	PM	0:00:00.001047	2	2		Data	85	133	205	10000101	DTE	.	1	1	1	1	0	0	0	0.0	0.0
3	2/24/2020	5:14:40.046776	PM	0:00:00.001209	3	3		Data	86	134	206	10000110	DCE	.	1	1	1	1	0	0	0	0.0	0.0
4	2/24/2020	5:14:40.052015	PM	0:00:00.005239	4	4		Data	04	4	4	00000100	DTE	.	1	1	1	1	0	0	0	0.0	0.0
5	2/24/2020	5:14:40.053061	PM	0:00:00.001046	5	5		Data	85	133	205	10000101	DTE	.	1	1	1	1	0	0	0	0.0	0.0
6	2/24/2020	5:14:40.056877	PM	0:00:00.003816	6	6		Data	86	134	206	10000110	DCE	.	1	1	1	1	0	0	0	0.0	0.0
7	2/24/2020	5:14:40.062116	PM	0:00:00.005239	7	7		Data	02	2	2	00000010	DTE	.	1	1	1	1	0	0	0	0.0	0.0
8	2/24/2020	5:14:40.063162	PM	0:00:00.001046	8	8		Data	23	35	43	00100011	DTE	#	1	1	1	1	0	0	0	0.0	0.0
9	2/24/2020	5:14:40.064202	PM	0:00:00.001040	9	9		Data	83	131	203	10000011	DTE	.	1	1	1	1	0	0	0	0.0	0.0
10	2/24/2020	5:14:40.065242	PM	0:00:00.001040	10	10		Data	20	32	40	00100000	DTE	1	1	1	1	0	0	0	0	0.0	
11	2/24/2020	5:14:40.070111	PM	0:00:00.004869	11	11		Data	86	134	206	10000110	DCE	.	1	1	1	1	0	0	0	0.0	0.0
12	2/24/2020	5:14:40.075350	PM	0:00:00.005239	12	12		Data	04	4	4	00000100	DTE	.	1	1	1	1	0	0	0	0.0	0.0
13	2/24/2020	5:14:40.077293	PM	0:00:00.001943	13	13		Data	85	133	205	10000101	DCE	.	1	1	1	1	0	0	0	0.0	0.0
14	2/24/2020	5:14:40.082617	PM	0:00:00.005324	14	14		Data	86	134	206	10000110	DTE	.	1	1	1	1	0	0	0	0.0	0.0
15	2/24/2020	5:14:40.083858	PM	0:00:00.001241	15	15		Data	02	2	2	00000010	DCE	.	1	1	1	1	0	0	0	0.0	0.0
