	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
1	2/24/2020	5:41:26.129693	PM		1	1		Data	85	133	205	10000101	DTE	.	1	1	1	1	0	0	0	0.0	0.0
2	2/24/2020	5:41:26.130857	PM	0:00:00.001164	2	2		Data	86	134	206	10000110	DCE	.	1	1	1	1	0	0	0	0.0	0.0
3	2/24/2020	5:41:26.136102	PM	0:00:00.005245	3	3		Data	02	2	2	00000010	DTE	.	1	1	1	1	0	0	0	0.0	0.0
4	2/24/2020	5:41:26.137149	PM	0:00:00.001047	4	4		Data	57	87	127	01010111	DTE	W	1	1	1	1	0	0	0	0.0	0.0
5	2/24/2020	5:41:26.138189	PM	0:00:00.001040	5	5		Data	c1	193	301	11000001	DTE	A	1	1	1	1	0	0	0	0.0	0.0
6	2/24/2020	5:41:26.139229	PM	0:00:00.001040	6	6		Data	b0	176	260	10110000	DTE	0	1	1	1	1	0	0	0	0.0	0.0
7	2/24/2020	5:41:26.140269	PM	0:00:00.001040	7	7		Data	c4	196	304	11000100	DTE	D	1	1	1	1	0	0	0	0.0	0.0
8	2/24/2020	5:41:26.141309	PM	0:00:00.001040	8	8		Data	c1	193	301	11000001	DTE	A	1	1	1	1	0	0	0	0.0	0.0
9	2/24/2020	5:41:26.142349	PM	0:00:00.001040	9	9		Data	43	67	103	01000011	DTE	C	1	1	1	1	0	0	0	0.0	0.0
10	2/24/2020	5:41:26.143389	PM	0:00:00.001040	10	10		Data	b0	176	260	10110000	DTE	0	1	1	1	1	0	0	0	0.0	0.0
11	2/24/2020	5:41:26.144429	PM	0:00:00.001040	11	11		Data	46	70	106	01000110	DTE	F	1	1	1	1	0	0	0	0.0	0.0
12	2/24/2020	5:41:26.145469	PM	0:00:00.001040	12	12		Data	38	56	70	00111000	DTE	8	1	1	1	1	0	0	0	0.0	0.0
13	2/24/2020	5:41:26.146509	PM	0:00:00.001040	13	13		Data	32	50	62	00110010	DTE	2	1	1	1	1	0	0	0	0.0	0.0
14	2/24/2020	5:41:26.147549	PM	0:00:00.001040	14	14		Data	83	131	203	10000011	DTE	.	1	1	1	1	0	0	0	0.0	0.0
15	2/24/2020	5:41:26.148589	PM	0:00:00.001040	15	15		Data	1f	31	37	00011111	DTE	.	1	1	1	1	0	0	0	0.0	0.0
16	2/24/2020	5:41:26.153568	PM	0:00:00.004979	16	16		Data	86	134	206	10000110	DCE	.	1	1	1	1	0	0	0	0.0	0.0
17	2/24/2020	5:41:26.158807	PM	0:00:00.005239	17	17		Data	04	4	4	00000100	DTE	.	1	1	1	1	0	0	0	0.0	0.0
18	2/24/2020	5:41:26.401263	PM	0:00:00.242456	18	18		Data	85	133	205	10000101	DCE	.	1	1	1	1	0	0	0	0.0	0.0
19	2/24/2020	5:41:26.406580	PM	0:00:00.005317	19	19		Data	86	134	206	10000110	DTE	.	1	1	1	1	0	0	0	0.0	0.0
20	2/24/2020	5:41:26.407828	PM	0:00:00.001248	20	20		Data	02	2	2	00000010	DCE	.	1	1	1	1	0	0	0	0.0	0.0
21	2/24/2020	5:41:26.408868	PM	0:00:00.001040	21	21		Data	b0	176	260	10110000	DCE	0	1	1	1	1	0	0	0	0.0	0.0
22	2/24/2020	5:41:26.409915	PM	0:00:00.001047	22	22		Data	83	131	203	10000011	DCE	.	1	1	1	1	0	0	0	0.0	0.0
23	2/24/2020	5:41:26.411371	PM	0:00:00.001456	23	23		Data	b3	179	263	10110011	DCE	3	1	1	1	1	0	0	0	0.0	0.0
24	2/24/2020	5:41:26.416623	PM	0:00:00.005252	24	24		Data	86	134	206	10000110	DTE	.	1	1	1	1	0	0	0	0.0	0.0
25	2/24/2020	5:41:26.417825	PM	0:00:00.001202	25	25		Data	04	4	4	00000100	DCE	.	1	1	1	1	0	0	0	0.0	0.0
26	2/24/2020	5:41:26.423071	PM	0:00:00.005246	26	26		Data	85	133	205	10000101	DTE	.	1	1	1	1	0	0	0	0.0	0.0
