	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
1	2/24/2020	4:35:50.510395	PM		1	1		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
2	2/24/2020	4:35:50.513131	PM	0:00:00.002736	2	2		Data	04	4	4	00000100	DCE	.	0	0	0	0	0	0	0	0.0	0.0
3	2/24/2020	4:35:50.620336	PM	0:00:00.107205	3	3		Data	85	133	205	10000101	DTE	.	0	0	0	0	0	0	0	0.0	0.0
4	2/24/2020	4:35:50.621564	PM	0:00:00.001228	4	4		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
5	2/24/2020	4:35:50.626803	PM	0:00:00.005239	5	5		Data	02	2	2	00000010	DTE	.	0	0	0	0	0	0	0	0.0	0.0
6	2/24/2020	4:35:50.627850	PM	0:00:00.001047	6	6		Data	52	82	122	01010010	DTE	R	0	0	0	0	0	0	0	0.0	0.0
7	2/24/2020	4:35:50.628890	PM	0:00:00.001040	7	7		Data	83	131	203	10000011	DTE	.	0	0	0	0	0	0	0	0.0	0.0
8	2/24/2020	4:35:50.629930	PM	0:00:00.001040	8	8		Data	51	81	121	01010001	DTE	Q	0	0	0	0	0	0	0	0.0	0.0
9	2/24/2020	4:35:50.632920	PM	0:00:00.002990	9	9		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
10	2/24/2020	4:35:50.638152	PM	0:00:00.005232	10	10		Data	04	4	4	00000100	DTE	.	0	0	0	0	0	0	0	0.0	0.0
11	2/24/2020	4:35:50.639998	PM	0:00:00.001846	11	11		Data	85	133	205	10000101	DCE	.	0	0	0	0	0	0	0	0.0	0.0
12	2/24/2020	4:35:50.730387	PM	0:00:00.090389	12	12		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
13	2/24/2020	4:35:50.731772	PM	0:00:00.001385	13	13		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
14	2/24/2020	4:35:50.732812	PM	0:00:00.001040	14	14		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
15	2/24/2020	4:35:50.734476	PM	0:00:00.001664	15	15		Data	52	82	122	01010010	DCE	R	0	0	0	0	0	0	0	0.0	0.0
16	2/24/2020	4:35:50.735516	PM	0:00:00.001040	16	16		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
17	2/24/2020	4:35:50.736562	PM	0:00:00.001046	17	17		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
18	2/24/2020	4:35:50.737602	PM	0:00:00.001040	18	18		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
19	2/24/2020	4:35:50.738642	PM	0:00:00.001040	19	19		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
20	2/24/2020	4:35:50.739682	PM	0:00:00.001040	20	20		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
21	2/24/2020	4:35:50.740729	PM	0:00:00.001047	21	21		Data	c1	193	301	11000001	DCE	A	0	0	0	0	0	0	0	0.0	0.0
22	2/24/2020	4:35:50.741769	PM	0:00:00.001040	22	22		Data	34	52	64	00110100	DCE	4	0	0	0	0	0	0	0	0.0	0.0
23	2/24/2020	4:35:50.742809	PM	0:00:00.001040	23	23		Data	83	131	203	10000011	DCE	.	0	0	0	0	0	0	0	0.0	0.0
24	2/24/2020	4:35:50.743849	PM	0:00:00.001040	24	24		Data	1c	28	34	00011100	DCE	.	0	0	0	0	0	0	0	0.0	0.0
25	2/24/2020	4:35:50.840361	PM	0:00:00.096512	25	25		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
26	2/24/2020	4:35:50.841557	PM	0:00:00.001196	26	26		Data	04	4	4	00000100	DCE	.	0	0	0	0	0	0	0	0.0	0.0
27	2/24/2020	4:35:50.950302	PM	0:00:00.108745	27	27		Data	85	133	205	10000101	DTE	.	0	0	0	0	0	0	0	0.0	0.0
28	2/24/2020	4:35:50.951446	PM	0:00:00.001144	28	28		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
