	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
1	2/24/2020	4:44:11.448970	PM		1	1		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
2	2/24/2020	4:44:11.450147	PM	0:00:00.001177	2	2		Data	04	4	4	00000100	DCE	.	0	0	0	0	0	0	0	0.0	0.0
3	2/24/2020	4:44:11.559275	PM	0:00:00.109128	3	3		Data	85	133	205	10000101	DTE	.	0	0	0	0	0	0	0	0.0	0.0
4	2/24/2020	4:44:11.560458	PM	0:00:00.001183	4	4		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
5	2/24/2020	4:44:11.565697	PM	0:00:00.005239	5	5		Data	02	2	2	00000010	DTE	.	0	0	0	0	0	0	0	0.0	0.0
6	2/24/2020	4:44:11.566744	PM	0:00:00.001047	6	6		Data	52	82	122	01010010	DTE	R	0	0	0	0	0	0	0	0.0	0.0
7	2/24/2020	4:44:11.567784	PM	0:00:00.001040	7	7		Data	83	131	203	10000011	DTE	.	0	0	0	0	0	0	0	0.0	0.0
8	2/24/2020	4:44:11.568824	PM	0:00:00.001040	8	8		Data	51	81	121	01010001	DTE	Q	0	0	0	0	0	0	0	0.0	0.0
9	2/24/2020	4:44:11.571814	PM	0:00:00.002990	9	9		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
10	2/24/2020	4:44:11.577046	PM	0:00:00.005232	10	10		Data	04	4	4	00000100	DTE	.	0	0	0	0	0	0	0	0.0	0.0
11	2/24/2020	4:44:11.578892	PM	0:00:00.001846	11	11		Data	85	133	205	10000101	DCE	.	0	0	0	0	0	0	0	0.0	0.0
12	2/24/2020	4:44:11.669008	PM	0:00:00.090116	12	12		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
13	2/24/2020	4:44:11.670347	PM	0:00:00.001339	13	13		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
14	2/24/2020	4:44:11.671394	PM	0:00:00.001047	14	14		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
15	2/24/2020	4:44:11.672434	PM	0:00:00.001040	15	15		Data	52	82	122	01010010	DCE	R	0	0	0	0	0	0	0	0.0	0.0
16	2/24/2020	4:44:11.673474	PM	0:00:00.001040	16	16		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
17	2/24/2020	4:44:11.674514	PM	0:00:00.001040	17	17		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
18	2/24/2020	4:44:11.675768	PM	0:00:00.001254	18	18		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
19	2/24/2020	4:44:11.676808	PM	0:00:00.001040	19	19		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
20	2/24/2020	4:44:11.677848	PM	0:00:00.001040	20	20		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
21	2/24/2020	4:44:11.678888	PM	0:00:00.001040	21	21		Data	c4	196	304	11000100	DCE	D	0	0	0	0	0	0	0	0.0	0.0
22	2/24/2020	4:44:11.679935	PM	0:00:00.001047	22	22		Data	c4	196	304	11000100	DCE	D	0	0	0	0	0	0	0	0.0	0.0
23	2/24/2020	4:44:11.680975	PM	0:00:00.001040	23	23		Data	83	131	203	10000011	DCE	.	0	0	0	0	0	0	0	0.0	0.0
24	2/24/2020	4:44:11.682015	PM	0:00:00.001040	24	24		Data	e9	233	351	11101001	DCE	i	0	0	0	0	0	0	0	0.0	0.0
25	2/24/2020	4:44:11.778930	PM	0:00:00.096915	25	25		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
26	2/24/2020	4:44:11.780451	PM	0:00:00.001521	26	26		Data	04	4	4	00000100	DCE	.	0	0	0	0	0	0	0	0.0	0.0
27	2/24/2020	4:44:11.888884	PM	0:00:00.108433	27	27		Data	85	133	205	10000101	DTE	.	0	0	0	0	0	0	0	0.0	0.0
28	2/24/2020	4:44:11.891074	PM	0:00:00.002190	28	28		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
29	2/24/2020	4:44:11.896307	PM	0:00:00.005233	29	29		Data	02	2	2	00000010	DTE	.	0	0	0	0	0	0	0	0.0	0.0
30	2/24/2020	4:44:11.897353	PM	0:00:00.001046	30	30		Data	52	82	122	01010010	DTE	R	0	0	0	0	0	0	0	0.0	0.0
31	2/24/2020	4:44:11.898393	PM	0:00:00.001040	31	31		Data	83	131	203	10000011	DTE	.	0	0	0	0	0	0	0	0.0	0.0
32	2/24/2020	4:44:11.899433	PM	0:00:00.001040	32	32		Data	51	81	121	01010001	DTE	Q	0	0	0	0	0	0	0	0.0	0.0
33	2/24/2020	4:44:11.904302	PM	0:00:00.004869	33	33		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
34	2/24/2020	4:44:11.909534	PM	0:00:00.005232	34	34		Data	04	4	4	00000100	DTE	.	0	0	0	0	0	0	0	0.0	0.0
35	2/24/2020	4:44:11.911380	PM	0:00:00.001846	35	35		Data	85	133	205	10000101	DCE	.	0	0	0	0	0	0	0	0.0	0.0
36	2/24/2020	4:44:11.998935	PM	0:00:00.087555	36	36		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
37	2/24/2020	4:44:12.002003	PM	0:00:00.003068	37	37		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
38	2/24/2020	4:44:12.003050	PM	0:00:00.001047	38	38		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
39	2/24/2020	4:44:12.004090	PM	0:00:00.001040	39	39		Data	52	82	122	01010010	DCE	R	0	0	0	0	0	0	0	0.0	0.0
40	2/24/2020	4:44:12.005130	PM	0:00:00.001040	40	40		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
41	2/24/2020	4:44:12.006170	PM	0:00:00.001040	41	41		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
42	2/24/2020	4:44:12.007944	PM	0:00:00.001774	42	42		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
43	2/24/2020	4:44:12.008984	PM	0:00:00.001040	43	43		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
44	2/24/2020	4:44:12.010024	PM	0:00:00.001040	44	44		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
45	2/24/2020	4:44:12.011064	PM	0:00:00.001040	45	45		Data	b9	185	271	10111001	DCE	9	0	0	0	0	0	0	0	0.0	0.0
46	2/24/2020	4:44:12.012111	PM	0:00:00.001047	46	46		Data	43	67	103	01000011	DCE	C	0	0	0	0	0	0	0	0.0	0.0
47	2/24/2020	4:44:12.013151	PM	0:00:00.001040	47	47		Data	83	131	203	10000011	DCE	.	0	0	0	0	0	0	0	0.0	0.0
48	2/24/2020	4:44:12.014191	PM	0:00:00.001040	48	48		Data	13	19	23	00010011	DCE	.	0	0	0	0	0	0	0	0.0	0.0
49	2/24/2020	4:44:12.109221	PM	0:00:00.095030	49	49		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
50	2/24/2020	4:44:12.110436	PM	0:00:00.001215	50	50		Data	04	4	4	00000100	DCE	.	0	0	0	0	0	0	0	0.0	0.0
51	2/24/2020	4:44:12.218869	PM	0:00:00.108433	51	51		Data	85	133	205	10000101	DTE	.	0	0	0	0	0	0	0	0.0	0.0
52	2/24/2020	4:44:12.220020	PM	0:00:00.001151	52	52		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
53	2/24/2020	4:44:12.225265	PM	0:00:00.005245	53	53		Data	02	2	2	00000010	DTE	.	0	0	0	0	0	0	0	0.0	0.0
54	2/24/2020	4:44:12.226312	PM	0:00:00.001047	54	54		Data	52	82	122	01010010	DTE	R	0	0	0	0	0	0	0	0.0	0.0
55	2/24/2020	4:44:12.227352	PM	0:00:00.001040	55	55		Data	83	131	203	10000011	DTE	.	0	0	0	0	0	0	0	0.0	0.0
56	2/24/2020	4:44:12.228392	PM	0:00:00.001040	56	56		Data	51	81	121	01010001	DTE	Q	0	0	0	0	0	0	0	0.0	0.0
57	2/24/2020	4:44:12.231375	PM	0:00:00.002983	57	57		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
58	2/24/2020	4:44:12.236614	PM	0:00:00.005239	58	58		Data	04	4	4	00000100	DTE	.	0	0	0	0	0	0	0	0.0	0.0
59	2/24/2020	4:44:12.238454	PM	0:00:00.001840	59	59		Data	85	133	205	10000101	DCE	.	0	0	0	0	0	0	0	0.0	0.0
60	2/24/2020	4:44:12.328908	PM	0:00:00.090454	60	60		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
61	2/24/2020	4:44:12.330221	PM	0:00:00.001313	61	61		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
62	2/24/2020	4:44:12.331267	PM	0:00:00.001046	62	62		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
63	2/24/2020	4:44:12.332307	PM	0:00:00.001040	63	63		Data	52	82	122	01010010	DCE	R	0	0	0	0	0	0	0	0.0	0.0
64	2/24/2020	4:44:12.333867	PM	0:00:00.001560	64	64		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
65	2/24/2020	4:44:12.334914	PM	0:00:00.001047	65	65		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
66	2/24/2020	4:44:12.335954	PM	0:00:00.001040	66	66		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
67	2/24/2020	4:44:12.336994	PM	0:00:00.001040	67	67		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
68	2/24/2020	4:44:12.338034	PM	0:00:00.001040	68	68		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
69	2/24/2020	4:44:12.339080	PM	0:00:00.001046	69	69		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
70	2/24/2020	4:44:12.340120	PM	0:00:00.001040	70	70		Data	43	67	103	01000011	DCE	C	0	0	0	0	0	0	0	0.0	0.0
71	2/24/2020	4:44:12.341160	PM	0:00:00.001040	71	71		Data	83	131	203	10000011	DCE	.	0	0	0	0	0	0	0	0.0	0.0
72	2/24/2020	4:44:12.342200	PM	0:00:00.001040	72	72		Data	1a	26	32	00011010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
73	2/24/2020	4:44:12.438875	PM	0:00:00.096675	73	73		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
74	2/24/2020	4:44:12.440116	PM	0:00:00.001241	74	74		Data	04	4	4	00000100	DCE	.	0	0	0	0	0	0	0	0.0	0.0
75	2/24/2020	4:44:12.548835	PM	0:00:00.108719	75	75		Data	85	133	205	10000101	DTE	.	0	0	0	0	0	0	0	0.0	0.0
76	2/24/2020	4:44:12.550005	PM	0:00:00.001170	76	76		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
77	2/24/2020	4:44:12.555251	PM	0:00:00.005246	77	77		Data	02	2	2	00000010	DTE	.	0	0	0	0	0	0	0	0.0	0.0
78	2/24/2020	4:44:12.556297	PM	0:00:00.001046	78	78		Data	52	82	122	01010010	DTE	R	0	0	0	0	0	0	0	0.0	0.0
79	2/24/2020	4:44:12.557337	PM	0:00:00.001040	79	79		Data	83	131	203	10000011	DTE	.	0	0	0	0	0	0	0	0.0	0.0
80	2/24/2020	4:44:12.558377	PM	0:00:00.001040	80	80		Data	51	81	121	01010001	DTE	Q	0	0	0	0	0	0	0	0.0	0.0
81	2/24/2020	4:44:12.563239	PM	0:00:00.004862	81	81		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
82	2/24/2020	4:44:12.568478	PM	0:00:00.005239	82	82		Data	04	4	4	00000100	DTE	.	0	0	0	0	0	0	0	0.0	0.0
83	2/24/2020	4:44:12.570318	PM	0:00:00.001840	83	83		Data	85	133	205	10000101	DCE	.	0	0	0	0	0	0	0	0.0	0.0
84	2/24/2020	4:44:12.659199	PM	0:00:00.088881	84	84		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
85	2/24/2020	4:44:12.660525	PM	0:00:00.001326	85	85		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
86	2/24/2020	4:44:12.661565	PM	0:00:00.001040	86	86		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
87	2/24/2020	4:44:12.662611	PM	0:00:00.001046	87	87		Data	52	82	122	01010010	DCE	R	0	0	0	0	0	0	0	0.0	0.0
88	2/24/2020	4:44:12.663651	PM	0:00:00.001040	88	88		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
89	2/24/2020	4:44:12.664691	PM	0:00:00.001040	89	89		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
90	2/24/2020	4:44:12.666043	PM	0:00:00.001352	90	90		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
91	2/24/2020	4:44:12.667090	PM	0:00:00.001047	91	91		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
92	2/24/2020	4:44:12.668130	PM	0:00:00.001040	92	92		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
93	2/24/2020	4:44:12.669170	PM	0:00:00.001040	93	93		Data	b9	185	271	10111001	DCE	9	0	0	0	0	0	0	0	0.0	0.0
94	2/24/2020	4:44:12.670210	PM	0:00:00.001040	94	94		Data	b9	185	271	10111001	DCE	9	0	0	0	0	0	0	0	0.0	0.0
95	2/24/2020	4:44:12.671256	PM	0:00:00.001046	95	95		Data	83	131	203	10000011	DCE	.	0	0	0	0	0	0	0	0.0	0.0
96	2/24/2020	4:44:12.672296	PM	0:00:00.001040	96	96		Data	e9	233	351	11101001	DCE	i	0	0	0	0	0	0	0	0.0	0.0
97	2/24/2020	4:44:12.768834	PM	0:00:00.096538	97	97		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
