	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
1	2/25/2020	4:55:33.057220	PM		1	1		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
2	2/25/2020	4:55:33.058397	PM	0:00:00.001177	2	2		Data	04	4	4	00000100	DCE	.	0	0	0	0	0	0	0	0.0	0.0
3	2/25/2020	4:55:33.167012	PM	0:00:00.108615	3	3		Data	85	133	205	10000101	DTE	.	0	0	0	0	0	0	0	0.0	0.0
4	2/25/2020	4:55:33.168182	PM	0:00:00.001170	4	4		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
5	2/25/2020	4:55:33.173427	PM	0:00:00.005245	5	5		Data	02	2	2	00000010	DTE	.	0	0	0	0	0	0	0	0.0	0.0
6	2/25/2020	4:55:33.174474	PM	0:00:00.001047	6	6		Data	52	82	122	01010010	DTE	R	0	0	0	0	0	0	0	0.0	0.0
7	2/25/2020	4:55:33.175514	PM	0:00:00.001040	7	7		Data	83	131	203	10000011	DTE	.	0	0	0	0	0	0	0	0.0	0.0
8	2/25/2020	4:55:33.176554	PM	0:00:00.001040	8	8		Data	51	81	121	01010001	DTE	Q	0	0	0	0	0	0	0	0.0	0.0
9	2/25/2020	4:55:33.179641	PM	0:00:00.003087	9	9		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
10	2/25/2020	4:55:33.184880	PM	0:00:00.005239	10	10		Data	04	4	4	00000100	DTE	.	0	0	0	0	0	0	0	0.0	0.0
11	2/25/2020	4:55:33.186726	PM	0:00:00.001846	11	11		Data	85	133	205	10000101	DCE	.	0	0	0	0	0	0	0	0.0	0.0
12	2/25/2020	4:55:33.277063	PM	0:00:00.090337	12	12		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
13	2/25/2020	4:55:33.278389	PM	0:00:00.001326	13	13		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
14	2/25/2020	4:55:33.279429	PM	0:00:00.001040	14	14		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
15	2/25/2020	4:55:33.280469	PM	0:00:00.001040	15	15		Data	52	82	122	01010010	DCE	R	0	0	0	0	0	0	0	0.0	0.0
16	2/25/2020	4:55:33.281932	PM	0:00:00.001463	16	16		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
17	2/25/2020	4:55:33.282972	PM	0:00:00.001040	17	17		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
18	2/25/2020	4:55:33.284012	PM	0:00:00.001040	18	18		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
19	2/25/2020	4:55:33.285052	PM	0:00:00.001040	19	19		Data	38	56	70	00111000	DCE	8	0	0	0	0	0	0	0	0.0	0.0
20	2/25/2020	4:55:33.286098	PM	0:00:00.001046	20	20		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
