	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
1	2/25/2020	4:59:18.575895	PM		1	1		Data	85	133	205	10000101	DTE	.	0	0	0	0	0	0	0	0.0	0.0
2	2/25/2020	4:59:18.577038	PM	0:00:00.001143	2	2		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
3	2/25/2020	4:59:18.582284	PM	0:00:00.005246	3	3		Data	02	2	2	00000010	DTE	.	0	0	0	0	0	0	0	0.0	0.0
4	2/25/2020	4:59:18.583330	PM	0:00:00.001046	4	4		Data	52	82	122	01010010	DTE	R	0	0	0	0	0	0	0	0.0	0.0
5	2/25/2020	4:59:18.584370	PM	0:00:00.001040	5	5		Data	83	131	203	10000011	DTE	.	0	0	0	0	0	0	0	0.0	0.0
6	2/25/2020	4:59:18.585410	PM	0:00:00.001040	6	6		Data	51	81	121	01010001	DTE	Q	0	0	0	0	0	0	0	0.0	0.0
7	2/25/2020	4:59:18.588498	PM	0:00:00.003088	7	7		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
8	2/25/2020	4:59:18.593737	PM	0:00:00.005239	8	8		Data	04	4	4	00000100	DTE	.	0	0	0	0	0	0	0	0.0	0.0
9	2/25/2020	4:59:18.595583	PM	0:00:00.001846	9	9		Data	85	133	205	10000101	DCE	.	0	0	0	0	0	0	0	0.0	0.0
10	2/25/2020	4:59:18.685940	PM	0:00:00.090357	10	10		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
11	2/25/2020	4:59:18.687246	PM	0:00:00.001306	11	11		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
12	2/25/2020	4:59:18.688286	PM	0:00:00.001040	12	12		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
13	2/25/2020	4:59:18.689326	PM	0:00:00.001040	13	13		Data	52	82	122	01010010	DCE	R	0	0	0	0	0	0	0	0.0	0.0
14	2/25/2020	4:59:18.690892	PM	0:00:00.001566	14	14		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
15	2/25/2020	4:59:18.691932	PM	0:00:00.001040	15	15		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
16	2/25/2020	4:59:18.692972	PM	0:00:00.001040	16	16		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
17	2/25/2020	4:59:18.694019	PM	0:00:00.001047	17	17		Data	31	49	61	00110001	DCE	1	0	0	0	0	0	0	0	0.0	0.0
18	2/25/2020	4:59:18.695059	PM	0:00:00.001040	18	18		Data	31	49	61	00110001	DCE	1	0	0	0	0	0	0	0	0.0	0.0
19	2/25/2020	4:59:18.697035	PM	0:00:00.001976	19	19		Data	32	50	62	00110010	DCE	2	0	0	0	0	0	0	0	0.0	0.0
20	2/25/2020	4:59:18.698082	PM	0:00:00.001047	20	20		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
21	2/25/2020	4:59:18.699121	PM	0:00:00.001039	21	21		Data	83	131	203	10000011	DCE	.	0	0	0	0	0	0	0	0.0	0.0
22	2/25/2020	4:59:18.700161	PM	0:00:00.001040	22	22		Data	9d	157	235	10011101	DCE	.	0	0	0	0	0	0	0	0.0	0.0
23	2/25/2020	4:59:18.795881	PM	0:00:00.095720	23	23		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
24	2/25/2020	4:59:18.797031	PM	0:00:00.001150	24	24		Data	04	4	4	00000100	DCE	.	0	0	0	0	0	0	0	0.0	0.0
25	2/25/2020	4:59:18.905841	PM	0:00:00.108810	25	25		Data	85	133	205	10000101	DTE	.	0	0	0	0	0	0	0	0.0	0.0
26	2/25/2020	4:59:18.907030	PM	0:00:00.001189	26	26		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
27	2/25/2020	4:59:18.912269	PM	0:00:00.005239	27	27		Data	02	2	2	00000010	DTE	.	0	0	0	0	0	0	0	0.0	0.0
28	2/25/2020	4:59:18.913316	PM	0:00:00.001047	28	28		Data	52	82	122	01010010	DTE	R	0	0	0	0	0	0	0	0.0	0.0
29	2/25/2020	4:59:18.914356	PM	0:00:00.001040	29	29		Data	83	131	203	10000011	DTE	.	0	0	0	0	0	0	0	0.0	0.0
30	2/25/2020	4:59:18.915396	PM	0:00:00.001040	30	30		Data	51	81	121	01010001	DTE	Q	0	0	0	0	0	0	0	0.0	0.0
31	2/25/2020	4:59:18.918490	PM	0:00:00.003094	31	31		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
32	2/25/2020	4:59:18.923722	PM	0:00:00.005232	32	32		Data	04	4	4	00000100	DTE	.	0	0	0	0	0	0	0	0.0	0.0
33	2/25/2020	4:59:18.925568	PM	0:00:00.001846	33	33		Data	85	133	205	10000101	DCE	.	0	0	0	0	0	0	0	0.0	0.0
34	2/25/2020	4:59:19.015899	PM	0:00:00.090331	34	34		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
35	2/25/2020	4:59:19.017231	PM	0:00:00.001332	35	35		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
36	2/25/2020	4:59:19.018278	PM	0:00:00.001047	36	36		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
37	2/25/2020	4:59:19.019318	PM	0:00:00.001040	37	37		Data	52	82	122	01010010	DCE	R	0	0	0	0	0	0	0	0.0	0.0
38	2/25/2020	4:59:19.020358	PM	0:00:00.001040	38	38		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
39	2/25/2020	4:59:19.021398	PM	0:00:00.001040	39	39		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
40	2/25/2020	4:59:19.023068	PM	0:00:00.001670	40	40		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
41	2/25/2020	4:59:19.024108	PM	0:00:00.001040	41	41		Data	31	49	61	00110001	DCE	1	0	0	0	0	0	0	0	0.0	0.0
42	2/25/2020	4:59:19.025149	PM	0:00:00.001041	42	42		Data	31	49	61	00110001	DCE	1	0	0	0	0	0	0	0	0.0	0.0
43	2/25/2020	4:59:19.026195	PM	0:00:00.001046	43	43		Data	b5	181	265	10110101	DCE	5	0	0	0	0	0	0	0	0.0	0.0
44	2/25/2020	4:59:19.027235	PM	0:00:00.001040	44	44		Data	43	67	103	01000011	DCE	C	0	0	0	0	0	0	0	0.0	0.0
45	2/25/2020	4:59:19.029211	PM	0:00:00.001976	45	45		Data	83	131	203	10000011	DCE	.	0	0	0	0	0	0	0	0.0	0.0
46	2/25/2020	4:59:19.030257	PM	0:00:00.001046	46	46		Data	1f	31	37	00011111	DCE	.	0	0	0	0	0	0	0	0.0	0.0
47	2/25/2020	4:59:19.125853	PM	0:00:00.095596	47	47		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
48	2/25/2020	4:59:19.127647	PM	0:00:00.001794	48	48		Data	04	4	4	00000100	DCE	.	0	0	0	0	0	0	0	0.0	0.0
49	2/25/2020	4:59:19.235801	PM	0:00:00.108154	49	49		Data	85	133	205	10000101	DTE	.	0	0	0	0	0	0	0	0.0	0.0
50	2/25/2020	4:59:19.238374	PM	0:00:00.002573	50	50		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
51	2/25/2020	4:59:19.243620	PM	0:00:00.005246	51	51		Data	02	2	2	00000010	DTE	.	0	0	0	0	0	0	0	0.0	0.0
52	2/25/2020	4:59:19.244666	PM	0:00:00.001046	52	52		Data	52	82	122	01010010	DTE	R	0	0	0	0	0	0	0	0.0	0.0
53	2/25/2020	4:59:19.245706	PM	0:00:00.001040	53	53		Data	83	131	203	10000011	DTE	.	0	0	0	0	0	0	0	0.0	0.0
54	2/25/2020	4:59:19.246746	PM	0:00:00.001040	54	54		Data	51	81	121	01010001	DTE	Q	0	0	0	0	0	0	0	0.0	0.0
55	2/25/2020	4:59:19.251810	PM	0:00:00.005064	55	55		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
56	2/25/2020	4:59:19.257049	PM	0:00:00.005239	56	56		Data	04	4	4	00000100	DTE	.	0	0	0	0	0	0	0	0.0	0.0
57	2/25/2020	4:59:19.258895	PM	0:00:00.001846	57	57		Data	85	133	205	10000101	DCE	.	0	0	0	0	0	0	0	0.0	0.0
58	2/25/2020	4:59:19.345852	PM	0:00:00.086957	58	58		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
59	2/25/2020	4:59:19.349095	PM	0:00:00.003243	59	59		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
60	2/25/2020	4:59:19.350142	PM	0:00:00.001047	60	60		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
61	2/25/2020	4:59:19.351182	PM	0:00:00.001040	61	61		Data	52	82	122	01010010	DCE	R	0	0	0	0	0	0	0	0.0	0.0
62	2/25/2020	4:59:19.352222	PM	0:00:00.001040	62	62		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
63	2/25/2020	4:59:19.353262	PM	0:00:00.001040	63	63		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
64	2/25/2020	4:59:19.355140	PM	0:00:00.001878	64	64		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
65	2/25/2020	4:59:19.356180	PM	0:00:00.001040	65	65		Data	31	49	61	00110001	DCE	1	0	0	0	0	0	0	0	0.0	0.0
66	2/25/2020	4:59:19.357220	PM	0:00:00.001040	66	66		Data	31	49	61	00110001	DCE	1	0	0	0	0	0	0	0	0.0	0.0
67	2/25/2020	4:59:19.358267	PM	0:00:00.001047	67	67		Data	34	52	64	00110100	DCE	4	0	0	0	0	0	0	0	0.0	0.0
68	2/25/2020	4:59:19.359307	PM	0:00:00.001040	68	68		Data	45	69	105	01000101	DCE	E	0	0	0	0	0	0	0	0.0	0.0
69	2/25/2020	4:59:19.361283	PM	0:00:00.001976	69	69		Data	83	131	203	10000011	DCE	.	0	0	0	0	0	0	0	0.0	0.0
70	2/25/2020	4:59:19.362329	PM	0:00:00.001046	70	70		Data	98	152	230	10011000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
71	2/25/2020	4:59:19.455858	PM	0:00:00.093529	71	71		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
72	2/25/2020	4:59:19.457008	PM	0:00:00.001150	72	72		Data	04	4	4	00000100	DCE	.	0	0	0	0	0	0	0	0.0	0.0
73	2/25/2020	4:59:19.565780	PM	0:00:00.108772	73	73		Data	85	133	205	10000101	DTE	.	0	0	0	0	0	0	0	0.0	0.0
74	2/25/2020	4:59:19.567008	PM	0:00:00.001228	74	74		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
75	2/25/2020	4:59:19.572253	PM	0:00:00.005245	75	75		Data	02	2	2	00000010	DTE	.	0	0	0	0	0	0	0	0.0	0.0
76	2/25/2020	4:59:19.573300	PM	0:00:00.001047	76	76		Data	52	82	122	01010010	DTE	R	0	0	0	0	0	0	0	0.0	0.0
77	2/25/2020	4:59:19.574340	PM	0:00:00.001040	77	77		Data	83	131	203	10000011	DTE	.	0	0	0	0	0	0	0	0.0	0.0
78	2/25/2020	4:59:19.575380	PM	0:00:00.001040	78	78		Data	51	81	121	01010001	DTE	Q	0	0	0	0	0	0	0	0.0	0.0
79	2/25/2020	4:59:19.578467	PM	0:00:00.003087	79	79		Data	86	134	206	10000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
80	2/25/2020	4:59:19.583700	PM	0:00:00.005233	80	80		Data	04	4	4	00000100	DTE	.	0	0	0	0	0	0	0	0.0	0.0
