	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
171	2/24/2020	5:06:58.403247	PM	0:00:00.003425	171	171		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
172	2/24/2020	5:06:58.404287	PM	0:00:00.001040	172	172		Data	b0	176	260	10110000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
173	2/24/2020	5:06:58.405327	PM	0:00:00.001040	173	173		Data	52	82	122	01010010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
174	2/24/2020	5:06:58.406367	PM	0:00:00.001040	174	174		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
175	2/24/2020	5:06:58.407414	PM	0:00:00.001047	175	175		Data	46	70	106	01000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
176	2/24/2020	5:06:58.409390	PM	0:00:00.001976	176	176		Data	46	70	106	01000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
177	2/24/2020	5:06:58.410430	PM	0:00:00.001040	177	177		Data	46	70	106	01000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
178	2/24/2020	5:06:58.411476	PM	0:00:00.001046	178	178		Data	46	70	106	01000110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
179	2/24/2020	5:06:58.412516	PM	0:00:00.001040	179	179		Data	c2	194	302	11000010	DCE	B	0	0	0	0	0	0	0	0.0	0.0
180	2/24/2020	5:06:58.413556	PM	0:00:00.001040	180	180		Data	b6	182	266	10110110	DCE	.	0	0	0	0	0	0	0	0.0	0.0
181	2/24/2020	5:06:58.415539	PM	0:00:00.001983	181	181		Data	83	131	203	10000011	DCE	c	0	0	0	0	0	0	0	0.0	0.0
182	2/24/2020	5:06:58.416579	PM	0:00:00.001040	182	182		Data	9d	157	235	10011101	DCE	.	0	0	0	0	0	0	0	0.0	0.0
183	2/24/2020	5:06:58.510264	PM	0:00:00.093685	183	183		Data	86	134	206	10000110	DTE	f	0	0	0	0	0	0	0	0.0	0.0
