	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
54	2/24/2020	5:14:40.176769	PM	0:00:00.001456	54	54		Data	02	2	2	00000010	DCE	.	1	1	1	1	0	0	0	0.0	0.0
55	2/24/2020	5:14:40.177816	PM	0:00:00.001047	55	55		Data	b0	176	260	10110000	DCE	0	1	1	1	1	0	0	0	0.0	0.0
56	2/24/2020	5:14:40.179480	PM	0:00:00.001664	56	56		Data	d6	214	326	11010110	DCE	V	1	1	1	1	0	0	0	0.0	0.0
57	2/24/2020	5:14:40.180520	PM	0:00:00.001040	57	57		Data	c1	193	301	11000001	DCE	A	1	1	1	1	0	0	0	0.0	0.0
58	2/24/2020	5:14:40.181566	PM	0:00:00.001046	58	58		Data	34	52	64	00110100	DCE	4	1	1	1	1	0	0	0	0.0	0.0
59	2/24/2020	5:14:40.182606	PM	0:00:00.001040	59	59		Data	b0	176	260	10110000	DCE	0	1	1	1	1	0	0	0	0.0	0.0
60	2/24/2020	5:14:40.183646	PM	0:00:00.001040	60	60		Data	31	49	61	00110001	DCE	1	1	1	1	1	0	0	0	0.0	0.0
61	2/24/2020	5:14:40.185622	PM	0:00:00.001976	61	61		Data	b9	185	271	10111001	DCE	9	1	1	1	1	0	0	0	0.0	0.0
62	2/24/2020	5:14:40.186669	PM	0:00:00.001047	62	62		Data	b3	179	263	10110011	DCE	3	1	1	1	1	0	0	0	0.0	0.0
63	2/24/2020	5:14:40.187709	PM	0:00:00.001040	63	63		Data	b6	182	266	10110110	DCE	6	1	1	1	1	0	0	0	0.0	0.0
64	2/24/2020	5:14:40.188749	PM	0:00:00.001040	64	64		Data	b0	176	260	10110000	DCE	0	1	1	1	1	0	0	0	0.0	0.0
65	2/24/2020	5:14:40.189789	PM	0:00:00.001040	65	65		Data	b0	176	260	10110000	DCE	0	1	1	1	1	0	0	0	0.0	0.0
66	2/24/2020	5:14:40.191771	PM	0:00:00.001982	66	66		Data	b6	182	266	10110110	DCE	6	1	1	1	1	0	0	0	0.0	0.0
67	2/24/2020	5:14:40.192811	PM	0:00:00.001040	67	67		Data	37	55	67	00110111	DCE	7	1	1	1	1	0	0	0	0.0	0.0
68	2/24/2020	5:14:40.193851	PM	0:00:00.001040	68	68		Data	37	55	67	00110111	DCE	7	1	1	1	1	0	0	0	0.0	0.0
69	2/24/2020	5:14:40.194898	PM	0:00:00.001047	69	69		Data	d3	211	323	11010011	DCE	S	1	1	1	1	0	0	0	0.0	0.0
70	2/24/2020	5:14:40.195938	PM	0:00:00.001040	70	70		Data	c1	193	301	11000001	DCE	A	1	1	1	1	0	0	0	0.0	0.0
71	2/24/2020	5:14:40.197914	PM	0:00:00.001976	71	71		Data	83	131	203	10000011	DCE	.	1	1	1	1	0	0	0	0.0	0.0
72	2/24/2020	5:14:40.198960	PM	0:00:00.001046	72	72		Data	89	137	211	10001001	DCE	.	1	1	1	1	0	0	0	0.0	0.0
73	2/24/2020	5:14:40.204212	PM	0:00:00.005252	73	73		Data	86	134	206	10000110	DTE	.	1	1	1	1	0	0	0	0.0	0.0
