	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
320	2/24/2020	5:09:04.450998	PM	0:00:00.001339	320	320		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
321	2/24/2020	5:09:04.452038	PM	0:00:00.001040	321	321		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
322	2/24/2020	5:09:04.454020	PM	0:00:00.001982	322	322		Data	52	82	122	01010010	DCE	R	0	0	0	0	0	0	0	0.0	0.0
323	2/24/2020	5:09:04.455060	PM	0:00:00.001040	323	323		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
324	2/24/2020	5:09:04.456100	PM	0:00:00.001040	324	324		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
325	2/24/2020	5:09:04.457140	PM	0:00:00.001040	325	325		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
326	2/24/2020	5:09:04.458187	PM	0:00:00.001047	326	326		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
327	2/24/2020	5:09:04.460163	PM	0:00:00.001976	327	327		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
328	2/24/2020	5:09:04.461203	PM	0:00:00.001040	328	328		Data	32	50	62	00110010	DCE	2	0	0	0	0	0	0	0	0.0	0.0
329	2/24/2020	5:09:04.462249	PM	0:00:00.001046	329	329		Data	31	49	61	00110001	DCE	1	0	0	0	0	0	0	0	0.0	0.0
330	2/24/2020	5:09:04.463289	PM	0:00:00.001040	330	330		Data	83	131	203	10000011	DCE	.	0	0	0	0	0	0	0	0.0	0.0
331	2/24/2020	5:09:04.464329	PM	0:00:00.001040	331	331		Data	ea	234	352	11101010	DCE	j	0	0	0	0	0	0	0	0.0	0.0
332	2/24/2020	5:09:04.559613	PM	0:00:00.095284	332	332		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
