	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
715	2/24/2020	5:41:42.508114	PM	0:00:00.001346	715	715		Data	02	2	2	00000010	DCE	.	1	1	1	1	0	0	0	0.0	0.0
716	2/24/2020	5:41:42.509154	PM	0:00:00.001040	716	716		Data	b0	176	260	10110000	DCE	0	1	1	1	1	0	0	0	0.0	0.0
717	2/24/2020	5:41:42.510200	PM	0:00:00.001046	717	717		Data	52	82	122	01010010	DCE	R	1	1	1	1	0	0	0	0.0	0.0
718	2/24/2020	5:41:42.511240	PM	0:00:00.001040	718	718		Data	80	128	200	10000000	DCE	.	1	1	1	1	0	0	0	0.0	0.0
719	2/24/2020	5:41:42.512280	PM	0:00:00.001040	719	719		Data	46	70	106	01000110	DCE	F	1	1	1	1	0	0	0	0.0	0.0
720	2/24/2020	5:41:42.513632	PM	0:00:00.001352	720	720		Data	46	70	106	01000110	DCE	F	1	1	1	1	0	0	0	0.0	0.0
721	2/24/2020	5:41:42.514679	PM	0:00:00.001047	721	721		Data	46	70	106	01000110	DCE	F	1	1	1	1	0	0	0	0.0	0.0
722	2/24/2020	5:41:42.515719	PM	0:00:00.001040	722	722		Data	46	70	106	01000110	DCE	F	1	1	1	1	0	0	0	0.0	0.0
723	2/24/2020	5:41:42.516759	PM	0:00:00.001040	723	723		Data	34	52	64	00110100	DCE	4	1	1	1	1	0	0	0	0.0	0.0
724	2/24/2020	5:41:42.517799	PM	0:00:00.001040	724	724		Data	b3	179	263	10110011	DCE	3	1	1	1	1	0	0	0	0.0	0.0
725	2/24/2020	5:41:42.519781	PM	0:00:00.001982	725	725		Data	83	131	203	10000011	DCE	.	1	1	1	1	0	0	0	0.0	0.0
726	2/24/2020	5:41:42.520821	PM	0:00:00.001040	726	726		Data	e6	230	346	11100110	DCE	f	1	1	1	1	0	0	0	0.0	0.0
727	2/24/2020	5:41:42.526080	PM	0:00:00.005259	727	727		Data	86	134	206	10000110	DTE	.	1	1	1	1	0	0	0	0.0	0.0
