	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
1142	2/24/2020	4:35:59.653139	PM	0:00:00.009237	1,307	1,307		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
1143	2/24/2020	4:35:59.654179	PM	0:00:00.001040	1,308	1,308		Data	4c	76	114	01001100	DCE	L	0	0	0	0	0	0	0	0.0	0.0
1144	2/24/2020	4:35:59.655219	PM	0:00:00.001040	1,309	1,309		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
1145	2/24/2020	4:35:59.656259	PM	0:00:00.001040	1,310	1,310		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
1146	2/24/2020	4:35:59.657305	PM	0:00:00.001046	1,311	1,311		Data	38	56	70	00111000	DCE	8	0	0	0	0	0	0	0	0.0	0.0
1147	2/24/2020	4:35:59.659281	PM	0:00:00.001976	1,312	1,312		Data	43	67	103	01000011	DCE	C	0	0	0	0	0	0	0	0.0	0.0
1148	2/24/2020	4:35:59.660321	PM	0:00:00.001040	1,313	1,313		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
1149	2/24/2020	4:35:59.661368	PM	0:00:00.001047	1,314	1,314		Data	c2	194	302	11000010	DCE	B	0	0	0	0	0	0	0	0.0	0.0
1150	2/24/2020	4:35:59.662408	PM	0:00:00.001040	1,315	1,315		Data	97	151	227	10010111	DCE	.	0	0	0	0	0	0	0	0.0	0.0
1151	2/24/2020	4:35:59.663448	PM	0:00:00.001040	1,316	1,316		Data	a4	164	244	10100100	DCE	$	0	0	0	0	0	0	0	0.0	0.0
1152	2/24/2020	4:35:59.668693	PM	0:00:00.005245	1,317	1,317		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
