	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
397	2/24/2020	4:44:16.949758	PM	0:00:00.001326	397	397		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
398	2/24/2020	4:44:16.950798	PM	0:00:00.001040	398	398		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
399	2/24/2020	4:44:16.951838	PM	0:00:00.001040	399	399		Data	52	82	122	01010010	DCE	R	0	0	0	0	0	0	0	0.0	0.0
400	2/24/2020	4:44:16.952884	PM	0:00:00.001046	400	400		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
401	2/24/2020	4:44:16.953924	PM	0:00:00.001040	401	401		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
402	2/24/2020	4:44:16.954964	PM	0:00:00.001040	402	402		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
403	2/24/2020	4:44:16.956004	PM	0:00:00.001040	403	403		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
404	2/24/2020	4:44:16.957051	PM	0:00:00.001047	404	404		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
405	2/24/2020	4:44:16.958091	PM	0:00:00.001040	405	405		Data	45	69	105	01000101	DCE	E	0	0	0	0	0	0	0	0.0	0.0
406	2/24/2020	4:44:16.959131	PM	0:00:00.001040	406	406		Data	b3	179	263	10110011	DCE	3	0	0	0	0	0	0	0	0.0	0.0
407	2/24/2020	4:44:16.960171	PM	0:00:00.001040	407	407		Data	83	131	203	10000011	DCE	.	0	0	0	0	0	0	0	0.0	0.0
408	2/24/2020	4:44:16.961217	PM	0:00:00.001046	408	408		Data	1f	31	37	00011111	DCE	.	0	0	0	0	0	0	0	0.0	0.0
409	2/24/2020	4:44:17.058698	PM	0:00:00.097481	409	409		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
