	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
275	2/24/2020	5:05:05.608769	PM	0:00:00.002957	275	275		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
276	2/24/2020	5:05:05.609809	PM	0:00:00.001040	276	276		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
277	2/24/2020	5:05:05.610856	PM	0:00:00.001047	277	277		Data	52	82	122	01010010	DCE	R	0	0	0	0	0	0	0	0.0	0.0
278	2/24/2020	5:05:05.611896	PM	0:00:00.001040	278	278		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
279	2/24/2020	5:05:05.612936	PM	0:00:00.001040	279	279		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
280	2/24/2020	5:05:05.614704	PM	0:00:00.001768	280	280		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
281	2/24/2020	5:05:05.615750	PM	0:00:00.001046	281	281		Data	b9	185	271	10111001	DCE	9	0	0	0	0	0	0	0	0.0	0.0
282	2/24/2020	5:05:05.616790	PM	0:00:00.001040	282	282		Data	c1	193	301	11000001	DCE	A	0	0	0	0	0	0	0	0.0	0.0
283	2/24/2020	5:05:05.617830	PM	0:00:00.001040	283	283		Data	b3	179	263	10110011	DCE	3	0	0	0	0	0	0	0	0.0	0.0
284	2/24/2020	5:05:05.618870	PM	0:00:00.001040	284	284		Data	31	49	61	00110001	DCE	1	0	0	0	0	0	0	0	0.0	0.0
285	2/24/2020	5:05:05.620853	PM	0:00:00.001983	285	285		Data	83	131	203	10000011	DCE	.	0	0	0	0	0	0	0	0.0	0.0
286	2/24/2020	5:05:05.621893	PM	0:00:00.001040	286	286		Data	13	19	23	00010011	DCE	.	0	0	0	0	0	0	0	0.0	0.0
287	2/24/2020	5:05:05.715772	PM	0:00:00.093879	287	287		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
