	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
3126	2/25/2020	4:59:40.587235	PM	0:00:00.034236	4,094	4,094		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
3127	2/25/2020	4:59:40.588274	PM	0:00:00.001039	4,095	4,095		Data	4c	76	114	01001100	DCE	L	0	0	0	0	0	0	0	0.0	0.0
3128	2/25/2020	4:59:40.589314	PM	0:00:00.001040	4,096	4,096		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
3129	2/25/2020	4:59:40.590361	PM	0:00:00.001047	4,097	4,097		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
3130	2/25/2020	4:59:40.591401	PM	0:00:00.001040	4,098	4,098		Data	b5	181	265	10110101	DCE	5	0	0	0	0	0	0	0	0.0	0.0
3131	2/25/2020	4:59:40.592753	PM	0:00:00.001352	4,099	4,099		Data	b6	182	266	10110110	DCE	6	0	0	0	0	0	0	0	0.0	0.0
3132	2/25/2020	4:59:40.593799	PM	0:00:00.001046	4,100	4,100		Data	43	67	103	01000011	DCE	C	0	0	0	0	0	0	0	0.0	0.0
3133	2/25/2020	4:59:40.594839	PM	0:00:00.001040	4,101	4,101		Data	b3	179	263	10110011	DCE	3	0	0	0	0	0	0	0	0.0	0.0
3134	2/25/2020	4:59:40.595879	PM	0:00:00.001040	4,102	4,102		Data	97	151	227	10010111	DCE	.	0	0	0	0	0	0	0	0.0	0.0
3135	2/25/2020	4:59:40.596919	PM	0:00:00.001040	4,103	4,103		Data	a8	168	250	10101000	DCE	(	0	0	0	0	0	0	0	0.0	0.0
3136	2/25/2020	4:59:40.602165	PM	0:00:00.005246	4,104	4,104		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
