	Date	Time	AM/PM	Delta	Event_Number	Byte_Number	Frame_Number	Type	Hex	Dec	Oct	Bin	Side	7-bit_ASCII	RTS	CTS	DSR	DTR	CD	RI	UART_Overrun	Parity_Error	Framing_Error
349	2/25/2020	4:55:37.898024	PM	0:00:00.001391	349	349		Data	02	2	2	00000010	DCE	.	0	0	0	0	0	0	0	0.0	0.0
350	2/25/2020	4:55:37.899064	PM	0:00:00.001040	350	350		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
351	2/25/2020	4:55:37.900942	PM	0:00:00.001878	351	351		Data	52	82	122	01010010	DCE	R	0	0	0	0	0	0	0	0.0	0.0
352	2/25/2020	4:55:37.901982	PM	0:00:00.001040	352	352		Data	08	8	10	00001000	DCE	.	0	0	0	0	0	0	0	0.0	0.0
353	2/25/2020	4:55:37.903022	PM	0:00:00.001040	353	353		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
354	2/25/2020	4:55:37.904062	PM	0:00:00.001040	354	354		Data	46	70	106	01000110	DCE	F	0	0	0	0	0	0	0	0.0	0.0
355	2/25/2020	4:55:37.905109	PM	0:00:00.001047	355	355		Data	38	56	70	00111000	DCE	8	0	0	0	0	0	0	0	0.0	0.0
356	2/25/2020	4:55:37.907085	PM	0:00:00.001976	356	356		Data	b0	176	260	10110000	DCE	0	0	0	0	0	0	0	0	0.0	0.0
357	2/25/2020	4:55:37.908125	PM	0:00:00.001040	357	357		Data	b6	182	266	10110110	DCE	6	0	0	0	0	0	0	0	0.0	0.0
358	2/25/2020	4:55:37.909171	PM	0:00:00.001046	358	358		Data	c1	193	301	11000001	DCE	A	0	0	0	0	0	0	0	0.0	0.0
359	2/25/2020	4:55:37.910211	PM	0:00:00.001040	359	359		Data	83	131	203	10000011	DCE	.	0	0	0	0	0	0	0	0.0	0.0
360	2/25/2020	4:55:37.911251	PM	0:00:00.001040	360	360		Data	e0	224	340	11100000	DCE	`	0	0	0	0	0	0	0	0.0	0.0
361	2/25/2020	4:55:38.006567	PM	0:00:00.095316	361	361		Data	86	134	206	10000110	DTE	.	0	0	0	0	0	0	0	0.0	0.0
