t	T_int	T_ext	p	i	d
9.299	6.6	9.9	1	0	0
11.344	6.6	9.9	1	0	0
13.394	6.5	9.9	1	0	0
15.441	6.5	9.9	1	0	0
17.489	6.5	9.9	1	0	0
19.536	6.5	9.9	1	0	0
21.579	6.5	9.9	1	0	0
23.631	6.5	9.9	1	0	0
25.678	6.5	9.8	1	0	0
27.721	6.5	9.8	1	0	0
29.77	6.5	9.8	1	0	0
31.816	6.5	9.8	1	0	0
33.869	6.5	9.8	1	0	0
35.911	6.5	9.9	1	0	0
37.964	6.5	9.9	1	0	0
40.009	6.5	9.9	1	0	0
42.058	6.5	9.9	1	0	0
44.106	6.5	9.9	1	0	0
46.151	6.5	9.8	1	0	0
48.199	6.5	9.8	1	0	0
50.248	6.5	9.8	1	0	0
52.292	6.5	9.8	1	0	0
54.344	6.5	9.8	1	0	0
56.391	6.5	9.8	1	0	0
58.435	6.5	9.8	1	0	0
60.481	6.5	9.9	1	0	0
62.532	6.5	9.9	1	0	0
64.581	6.5	9.9	1	0	0
66.624	6.5	9.9	1	0	0
68.672	6.5	9.8	1	0	0
70.72	6.5	9.8	1	0	0
72.772	6.5	9.8	1	0	0
74.819	6.5	9.8	1	0	0
76.865	6.5	9.8	1	0	0
78.913	6.5	9.8	1	0	0
80.961	6.4	9.8	1	0	0
83.009	6.4	9.8	1	0	0
85.056	6.4	9.8	1	0	0
87.101	6.4	9.8	1	0	0
89.151	6.4	9.8	1	0	0
91.195	6.4	9.8	1	0	0
93.246	6.4	9.8	1	0	0
95.293	6.4	9.8	1	0	0
97.338	6.4	9.8	1	0	0
99.387	6.4	9.8	1	0	0
101.432	6.4	9.8	1	0	0
103.48	6.4	9.8	1	0	0
105.528	6.4	9.8	1	0	0
107.576	6.4	9.8	1	0	0
109.624	6.4	9.8	1	0	0
111.673	6.4	9.8	1	0	0
113.718	6.4	9.8	1	0	0
115.767	6.4	9.8	1	0	0
117.812	6.4	9.8	1	0	0
119.86	6.4	9.9	1	0	0
121.912	6.4	9.9	1	0	0
123.96	6.4	9.8	1	0	0
126.005	6.4	9.8	1	0	0
128.055	6.4	9.8	1	0	0
130.099	6.4	9.8	1	0	0
132.145	6.4	9.8	1	0	0
134.197	6.4	9.8	1	0	0
136.242	6.4	9.8	1	0	0
138.293	6.4	9.8	1	0	0
140.336	6.4	9.8	1	0	0
142.387	6.4	9.8	1	0	0
144.435	6.4	9.8	1	0	0
146.478	6.4	9.8	1	0	0
148.53	6.4	9.8	1	0	0
150.578	6.4	9.8	1	0	0
152.62	6.4	9.8	1	0	0
154.672	6.4	9.8	1	0	0
156.72	6.4	9.8	1	0	0
158.766	6.4	9.8	1	0	0
160.81	6.4	9.8	1	0	0
162.863	6.4	9.8	1	0	0
164.907	6.4	9.8	1	0	0
166.958	6.4	9.8	1	0	0
169.003	6.4	9.8	1	0	0
171.048	6.4	9.8	1	0	0
173.099	6.4	9.8	1	0	0
175.143	6.4	9.8	1	0	0
177.196	6.4	9.8	1	0	0
179.238	6.4	9.8	1	0	0
181.287	6.4	9.8	1	0	0
183.338	6.4	9.8	1	0	0
185.386	6.4	9.8	1	0	0
187.429	6.4	9.8	1	0	0
189.48	6.4	9.8	1	0	0
191.526	6.4	9.8	1	0	0
193.571	6.4	9.8	1	0	0
195.639	6.4	9.8	1	0	0
197.685	6.4	9.8	1	0	0
199.73	6.4	9.8	1	0	0
201.783	6.4	9.8	1	0	0
203.827	6.4	9.8	1	0	0
205.875	6.4	9.8	1	0	0
207.923	6.4	9.8	1	0	0
209.971	6.4	9.8	1	0	0
212.018	6.4	9.8	1	0	0
214.069	6.4	9.8	1	0	0
216.113	6.4	9.8	1	0	0
218.16	6.4	9.8	1	0	0
220.204	6.4	9.8	1	0	0
222.257	6.4	9.8	1	0	0
224.303	6.4	9.8	1	0	0
226.347	6.4	9.8	1	0	0
228.4	6.4	9.8	1	0	0
230.443	6.4	9.8	1	0	0
232.493	6.4	9.8	1	0	0
234.542	6.4	9.8	1	0	0
236.587	6.4	9.8	1	0	0
238.633	6.4	9.8	1	0	0
240.685	6.4	9.8	1	0	0
242.729	6.4	9.8	1	0	0
244.782	6.4	9.8	1	0	0
246.827	6.4	9.8	1	0	0
248.871	6.4	9.8	1	0	0
250.923	6.4	9.8	1	0	0
252.967	6.4	9.8	1	0	0
255.014	6.4	9.7	1	0	0
257.06	6.4	9.7	1	0	0
259.113	6.4	9.7	1	0	0
261.16	6.4	9.8	1	0	0
263.208	6.4	9.8	1	0	0
265.256	6.4	9.8	1	0	0
267.303	6.4	9.8	1	0	0
269.351	6.4	9.8	1	0	0
271.395	6.4	9.8	1	0	0
273.445	6.4	9.8	1	0	0
275.496	6.4	9.8	1	0	0
277.553	6.4	9.7	1	0	0
279.604	6.5	9.7	1	0	0
281.652	6.5	9.7	1	0	0
283.7	6.5	9.7	1	0	0
285.747	6.5	9.7	1	0	0
287.794	6.5	9.7	1	0	0
289.842	6.5	9.7	1	0	0
291.887	6.5	9.7	1	0	0
293.937	6.5	9.7	1	0	0
295.984	6.5	9.7	1	0	0
298.031	6.5	9.7	1	0	0
300.079	6.5	9.7	1	0	0
302.124	6.5	9.7	1	0	0
304.172	6.5	9.7	1	0	0
306.22	6.5	9.7	1	0	0
308.265	6.5	9.7	1	0	0
310.314	6.6	9.7	1	0	0
312.361	6.6	9.7	1	0	0
314.408	6.6	9.7	1	0	0
316.455	6.6	9.7	1	0	0
318.503	6.6	9.7	1	0	0
320.554	6.6	9.7	1	0	0
322.597	6.6	9.7	1	0	0
324.65	6.6	9.7	1	0	0
326.698	6.6	9.7	1	0	0
328.745	6.6	9.7	1	0	0
330.793	6.7	9.7	1	0	0
332.838	6.7	9.7	1	0	0
334.89	6.7	9.7	1	0	0
336.935	6.7	9.7	1	0	0
338.983	6.7	9.7	1	0	0
341.029	6.7	9.7	1	0	0
343.078	6.7	9.7	1	0	0
345.125	6.7	9.7	1	0	0
347.173	6.7	9.7	1	0	0
349.22	6.7	9.7	1	0	0
351.265	6.7	9.7	1	0	0
353.331	6.7	9.7	1	0	0
355.379	6.8	9.7	1	0	0
357.426	6.8	9.7	1	0	0
359.473	6.8	9.7	1	0	0
361.521	6.8	9.7	1	0	0
363.569	6.8	9.7	1	0	0
365.616	6.8	9.7	1	0	0
367.665	6.8	9.7	1	0	0
369.711	6.8	9.7	1	0	0
371.759	6.8	9.7	1	0	0
373.804	6.8	9.7	1	0	0
375.854	6.8	9.7	1	0	0
377.901	6.8	9.7	1	0	0
379.949	6.8	9.7	1	0	0
381.996	6.8	9.7	1	0	0
384.038	6.8	9.7	1	0	0
386.09	6.8	9.7	1	0	0
388.139	6.9	9.7	1	0	0
390.186	6.9	9.7	1	0	0
392.234	6.9	9.7	1	0	0
394.283	6.9	9.7	1	0	0
396.327	6.9	9.7	1	0	0
398.375	6.9	9.7	1	0	0
400.424	6.9	9.7	1	0	0
402.47	6.9	9.7	1	0	0
404.515	6.9	9.8	1	0	0
406.562	6.9	9.8	1	0	0
408.614	6.9	9.8	1	0	0
410.662	6.9	9.8	1	0	0
412.707	6.9	9.8	1	0	0
414.757	6.9	9.8	1	0	0
416.803	6.9	9.8	1	0	0
418.851	6.9	9.8	1	0	0
420.896	6.9	9.8	1	0	0
422.947	6.9	9.8	1	0	0
424.994	6.9	9.8	1	0	0
427.04	6.9	9.8	1	0	0
429.088	6.9	9.8	1	0	0
431.153	6.9	9.8	1	0	0
433.2	6.9	9.8	1	0	0
435.244	6.9	9.8	1	0	0
437.291	6.9	9.8	1	0	0
439.344	6.9	9.8	1	0	0
441.388	6.9	9.8	1	0	0
443.438	6.9	9.8	1	0	0
445.485	7.0	9.8	1	0	0
447.53	7.0	9.8	1	0	0
449.58	7.0	9.8	1	0	0
451.626	7.0	9.8	1	0	0
453.673	7.0	9.8	1	0	0
455.722	7.0	9.8	1	0	0
457.767	7.0	9.8	1	0	0
459.815	7.0	9.8	1	0	0
461.861	6.9	9.8	1	0	0
463.913	6.9	9.8	1	0	0
465.959	6.9	9.8	1	0	0
468.006	6.9	9.8	1	0	0
470.051	6.9	9.8	1	0	0
472.1	6.9	9.8	1	0	0
474.151	6.9	9.8	1	0	0
476.197	6.9	9.9	1	0	0
478.241	6.9	9.8	1	0	0
480.294	6.9	9.9	1	0	0
482.341	6.9	9.9	1	0	0
484.39	6.9	9.9	1	0	0
486.432	6.9	9.9	1	0	0
488.48	6.9	9.9	1	0	0
490.528	6.9	9.9	1	0	0
492.578	6.9	9.9	1	0	0
494.623	6.9	9.9	1	0	0
496.668	6.9	9.9	1	0	0
498.716	6.9	9.9	1	0	0
500.766	6.9	9.9	1	0	0
502.816	6.9	9.9	1	0	0
504.859	6.9	9.9	1	0	0
506.927	6.9	9.9	1	0	0
508.972	6.9	9.9	1	0	0
511.017	6.9	9.9	1	0	0
513.069	6.9	9.9	1	0	0
515.112	6.9	9.9	1	0	0
517.162	6.9	9.9	1	0	0
519.212	6.9	9.9	1	0	0
521.26	6.9	9.9	1	0	0
523.31	6.8	9.9	1	0	0
525.355	6.8	9.9	1	0	0
527.4	6.8	9.9	1	0	0
529.45	6.8	9.9	1	0	0
531.497	6.8	9.9	1	0	0
533.543	6.8	9.9	1	0	0
535.6	6.8	9.9	1	0	0
537.639	6.8	9.9	1	0	0
539.684	6.8	9.9	1	0	0
541.735	6.8	9.9	1	0	0
543.785	6.8	9.9	1	0	0
545.828	6.8	9.9	1	0	0
547.874	6.8	9.9	1	0	0
549.925	6.8	9.9	1	0	0
551.97	6.7	9.9	1	0	0
554.02	6.7	9.9	1	0	0
556.064	6.7	9.9	1	0	0
558.115	6.7	9.9	1	0	0
560.16	6.7	10.0	1	0	0
574.491	6.7	9.9	0.1	0	0
576.542	6.7	9.9	0.1	0	0
578.59	6.7	9.9	0.1	0	0
580.634	6.7	9.9	0.1	0	0
582.682	6.7	9.9	0.1	0	0
584.746	6.7	9.9	0.1	0	0
586.792	6.8	9.9	0.1	0	0
588.839	6.8	9.9	0.1	0	0
590.886	6.9	10.0	0.1	0	0
592.936	6.9	10.0	0.1	0	0
594.982	6.9	9.9	0.1	0	0
597.032	7.0	9.9	0.1	0	0
599.081	7.0	9.9	0.1	0	0
601.124	7.0	9.9	0.1	0	0
603.177	7.1	9.9	0.1	0	0
605.221	7.1	9.9	0.1	0	0
607.272	7.1	9.9	0.1	0	0
609.318	7.1	10.0	0.1	0	0
611.362	7.2	10.0	0.1	0	0
613.414	7.2	10.0	0.1	0	0
615.459	7.3	10.0	0.1	0	0
617.504	7.3	10.0	0.1	0	0
619.555	7.3	10.0	0.1	0	0
621.602	7.4	10.0	0.1	0	0
623.647	7.4	10.0	0.1	0	0
625.694	7.4	10.0	0.1	0	0
627.743	7.4	10.0	0.1	0	0
629.791	7.4	10.0	0.1	0	0
631.839	7.4	10.0	0.1	0	0
633.89	7.4	10.0	0.1	0	0
635.934	7.4	10.0	0.1	0	0
637.981	7.4	10.0	0.1	0	0
640.032	7.4	10.0	0.1	0	0
642.076	7.4	10.0	0.1	0	0
644.123	7.4	10.0	0.1	0	0
646.175	7.4	10.0	0.1	0	0
648.219	7.4	10.0	0.1	0	0
650.27	7.4	10.0	0.1	0	0
652.317	7.4	10.0	0.1	0	0
654.362	7.4	10.0	0.1	0	0
656.409	7.4	10.0	0.1	0	0
658.456	7.5	10.0	0.1	0	0
660.522	7.5	10.0	0.1	0	0
662.566	7.5	10.0	0.1	0	0
664.621	7.4	10.0	0.1	0	0
666.665	7.4	10.0	0.1	0	0
668.713	7.4	10.0	0.1	0	0
670.761	7.4	10.0	0.1	0	0
672.805	7.4	10.0	0.1	0	0
674.851	7.4	10.0	0.1	0	0
676.904	7.4	10.0	0.1	0	0
678.951	7.4	10.0	0.1	0	0
680.994	7.3	10.0	0.1	0	0
683.045	7.3	10.0	0.1	0	0
685.09	7.3	10.0	0.1	0	0
687.136	7.3	10.0	0.1	0	0
689.184	7.3	10.0	0.1	0	0
691.235	7.3	10.0	0.1	0	0
693.279	7.3	10.0	0.1	0	0
695.33	7.2	10.1	0.1	0	0
697.375	7.2	10.1	0.1	0	0
699.424	7.2	10.1	0.1	0	0
701.47	7.2	10.1	0.1	0	0
703.52	7.2	10.1	0.1	0	0
705.567	7.2	10.0	0.1	0	0
707.613	7.2	10.0	0.1	0	0
709.66	7.1	10.0	0.1	0	0
711.713	7.1	10.0	0.1	0	0
713.76	7.1	10.1	0.1	0	0
715.807	7.1	10.1	0.1	0	0
717.855	7.1	10.1	0.1	0	0
719.898	7.1	10.1	0.1	0	0
721.946	7.1	10.1	0.1	0	0
724.0	7.0	10.1	0.1	0	0
726.041	7.0	10.1	0.1	0	0
728.092	7.0	10.1	0.1	0	0
730.136	7.0	10.1	0.1	0	0
732.184	7.0	10.1	0.1	0	0
734.231	7.0	10.1	0.1	0	0
736.283	6.9	10.1	0.1	0	0
738.325	6.9	10.1	0.1	0	0
740.377	6.9	10.1	0.1	0	0
742.423	6.9	10.1	0.1	0	0
744.469	6.9	10.1	0.1	0	0
746.516	6.9	10.1	0.1	0	0
748.563	6.9	10.1	0.1	0	0
750.611	6.9	10.1	0.1	0	0
752.674	6.8	10.1	0.1	0	0
754.728	6.8	10.1	0.1	0	0
756.77	6.8	10.1	0.1	0	0
758.819	6.8	10.1	0.1	0	0
760.868	6.8	10.1	0.1	0	0
762.916	6.8	10.1	0.1	0	0
764.961	6.8	10.1	0.1	0	0
767.008	6.7	10.1	0.1	0	0
769.058	6.7	10.1	0.1	0	0
771.106	6.7	10.1	0.1	0	0
773.153	6.7	10.1	0.1	0	0
775.202	6.7	10.1	0.1	0	0
777.247	6.7	10.1	0.1	0	0
779.297	6.7	10.1	0.1	0	0
781.34	6.6	10.1	0.1	0	0
783.392	6.6	10.1	0.1	0	0
785.438	6.6	10.1	0.1	0	0
787.484	6.6	10.1	0.1	0	0
789.535	6.6	10.1	0.1	0	0
791.579	6.6	10.1	0.1	0	0
793.63	6.6	10.1	0.1	0	0
795.678	6.5	10.0	0.1	0	0
797.725	6.5	10.0	0.1	0	0
799.773	6.5	10.0	0.1	0	0
801.82	6.5	10.0	0.1	0	0
803.867	6.5	10.0	0.1	0	0
805.915	6.5	10.0	0.1	0	0
807.963	6.5	10.0	0.1	0	0
810.01	6.4	10.0	0.1	0	0
812.058	6.4	10.1	0.1	0	0
814.104	6.4	10.1	0.1	0	0
816.151	6.4	10.1	0.1	0	0
818.196	6.4	10.0	0.1	0	0
820.246	6.4	10.0	0.1	0	0
822.296	6.4	10.0	0.1	0	0
824.343	6.4	10.0	0.1	0	0
826.391	6.3	10.0	0.1	0	0
828.438	6.3	10.0	0.1	0	0
830.486	6.3	10.0	0.1	0	0
832.528	6.3	10.0	0.1	0	0
834.597	6.3	10.0	0.1	0	0
836.64	6.3	10.0	0.1	0	0
838.686	6.3	10.0	0.1	0	0
840.736	6.2	10.0	0.1	0	0
842.781	6.2	10.0	0.1	0	0
844.835	6.2	10.0	0.1	0	0
846.882	6.2	10.0	0.1	0	0
848.929	6.2	10.0	0.1	0	0
850.977	6.2	10.0	0.1	0	0
853.024	6.2	9.9	0.1	0	0
855.067	6.2	9.9	0.1	0	0
857.119	6.2	9.9	0.1	0	0
859.162	6.2	9.9	0.1	0	0
861.211	6.2	10.0	0.1	0	0
863.262	6.2	10.0	0.1	0	0
865.308	6.2	10.0	0.1	0	0
867.357	6.3	10.0	0.1	0	0
869.404	6.3	10.0	0.1	0	0
871.449	6.3	10.0	0.1	0	0
873.499	6.4	10.0	0.1	0	0
875.549	6.4	10.0	0.1	0	0
877.592	6.4	10.0	0.1	0	0
879.642	6.4	10.0	0.1	0	0
881.69	6.4	10.0	0.1	0	0
883.735	6.4	10.0	0.1	0	0
885.784	6.4	10.0	0.1	0	0
887.828	6.4	9.9	0.1	0	0
889.875	6.4	9.9	0.1	0	0
891.924	6.4	9.9	0.1	0	0
893.974	6.4	9.9	0.1	0	0
896.022	6.4	9.9	0.1	0	0
898.068	6.5	9.9	0.1	0	0
900.117	6.5	9.9	0.1	0	0
902.165	6.5	9.9	0.1	0	0
904.211	6.6	9.9	0.1	0	0
906.276	6.6	9.9	0.1	0	0
908.323	6.7	9.9	0.1	0	0
910.371	6.7	9.9	0.1	0	0
912.418	6.8	9.9	0.1	0	0
914.466	6.8	9.9	0.1	0	0
916.512	6.9	9.9	0.1	0	0
918.557	6.9	9.9	0.1	0	0
920.606	7.0	9.9	0.1	0	0
922.655	7.0	9.9	0.1	0	0
924.699	7.1	9.9	0.1	0	0
926.751	7.2	9.9	0.1	0	0
928.795	7.2	9.9	0.1	0	0
930.841	7.3	9.9	0.1	0	0
932.89	7.3	9.9	0.1	0	0
934.938	7.4	9.9	0.1	0	0
936.989	7.4	9.8	0.1	0	0
939.036	7.5	9.8	0.1	0	0
941.081	7.6	9.8	0.1	0	0
943.128	7.6	9.8	0.1	0	0
945.174	7.7	9.8	0.1	0	0
947.226	7.7	9.8	0.1	0	0
949.274	7.8	9.8	0.1	0	0
951.322	7.9	9.8	0.1	0	0
953.369	7.9	9.8	0.1	0	0
955.414	8.0	9.8	0.1	0	0
957.462	8.0	9.8	0.1	0	0
959.512	8.1	9.8	0.1	0	0
961.554	8.1	9.8	0.1	0	0
963.607	8.2	9.8	0.1	0	0
965.653	8.2	9.8	0.1	0	0
967.699	8.3	9.8	0.1	0	0
969.749	8.4	9.8	0.1	0	0
971.795	8.4	9.8	0.1	0	0
973.84	8.5	9.8	0.1	0	0
975.891	8.5	9.8	0.1	0	0
977.934	8.6	9.9	0.1	0	0
979.987	8.6	9.9	0.1	0	0
982.034	8.7	9.9	0.1	0	0
984.096	8.7	9.9	0.1	0	0
986.141	8.8	9.9	0.1	0	0
988.19	8.8	9.9	0.1	0	0
990.241	8.9	9.9	0.1	0	0
992.288	9.0	10.0	0.1	0	0
994.337	9.0	10.0	0.1	0	0
996.383	9.1	10.0	0.1	0	0
998.431	9.1	10.0	0.1	0	0
1000.476	9.1	10.0	0.1	0	0
1002.524	9.1	10.0	0.1	0	0
1004.569	9.1	10.0	0.1	0	0
1006.62	9.1	10.0	0.1	0	0
1008.664	9.1	10.1	0.1	0	0
1010.713	9.1	10.1	0.1	0	0
1012.762	9.1	10.1	0.1	0	0
1014.806	9.1	10.1	0.1	0	0
1016.853	9.1	10.1	0.1	0	0
1018.905	9.1	10.1	0.1	0	0
1020.954	9.0	10.1	0.1	0	0
1022.997	9.0	10.1	0.1	0	0
1025.048	9.0	10.2	0.1	0	0
