t	T_int	T_ext	p	i	d
9.298	3.7	6.6	1	0	0
11.346	3.8	6.6	1	0	0
13.391	3.9	6.6	1	0	0
15.442	3.9	6.6	1	0	0
17.485	4.0	6.6	1	0	0
19.535	4.1	6.7	1	0	0
21.582	4.2	6.7	1	0	0
23.628	4.2	6.7	1	0	0
25.679	4.3	6.7	1	0	0
27.725	4.3	6.7	1	0	0
29.774	4.4	6.8	1	0	0
31.821	4.5	6.8	1	0	0
33.868	4.5	6.8	1	0	0
35.916	4.6	6.8	1	0	0
37.962	4.7	6.8	1	0	0
40.01	4.7	6.8	1	0	0
42.057	4.8	6.8	1	0	0
44.104	4.8	6.8	1	0	0
46.155	4.9	6.8	1	0	0
48.199	4.9	6.9	1	0	0
50.25	5.0	6.9	1	0	0
52.293	5.0	6.9	1	0	0
54.34	5.1	6.9	1	0	0
56.39	5.2	6.9	1	0	0
58.451	5.2	6.9	1	0	0
60.506	5.3	7.0	1	0	0
62.552	5.3	7.0	1	0	0
64.599	5.4	7.1	1	0	0
66.647	5.4	7.1	1	0	0
68.694	5.5	7.1	1	0	0
70.742	5.5	7.1	1	0	0
72.789	5.6	7.1	1	0	0
74.837	5.6	7.1	1	0	0
76.881	5.7	7.1	1	0	0
78.932	5.7	7.2	1	0	0
80.976	5.8	7.2	1	0	0
83.027	5.8	7.2	1	0	0
85.074	5.8	7.2	1	0	0
87.122	5.9	7.2	1	0	0
89.169	6.0	7.2	1	0	0
91.217	6.0	7.3	1	0	0
93.265	6.0	7.3	1	0	0
95.312	6.1	7.3	1	0	0
97.359	6.1	7.3	1	0	0
99.407	6.2	7.3	1	0	0
101.455	6.2	7.3	1	0	0
103.502	6.3	7.3	1	0	0
105.55	6.3	7.3	1	0	0
107.592	6.3	7.4	1	0	0
109.645	6.4	7.4	1	0	0
111.69	6.4	7.4	1	0	0
113.74	6.5	7.4	1	0	0
115.787	6.5	7.5	1	0	0
117.835	6.5	7.5	1	0	0
119.878	6.6	7.5	1	0	0
121.927	6.6	7.6	1	0	0
123.973	6.7	7.6	1	0	0
126.025	6.7	7.6	1	0	0
128.071	6.7	7.6	1	0	0
130.12	6.8	7.7	1	0	0
132.167	6.8	7.7	1	0	0
134.215	6.9	7.7	1	0	0
136.263	6.9	7.7	1	0	0
138.31	6.9	7.7	1	0	0
140.358	7.0	7.7	1	0	0
142.405	7.0	7.7	1	0	0
144.453	7.0	7.7	1	0	0
146.5	7.1	7.8	1	0	0
148.55	7.1	7.8	1	0	0
150.595	7.1	7.8	1	0	0
152.643	7.2	7.8	1	0	0
154.69	7.2	7.8	1	0	0
156.738	7.2	7.8	1	0	0
158.785	7.3	7.9	1	0	0
160.833	7.3	7.9	1	0	0
162.88	7.3	7.9	1	0	0
164.928	7.4	7.9	1	0	0
166.975	7.4	8.0	1	0	0
169.023	7.4	8.0	1	0	0
171.071	7.5	8.0	1	0	0
