t	T_int	T_ext	p	i	d
10.33	8.68	10.76	1	0	0
12.377	8.67	10.75	1	0	0
14.432	8.65	10.75	1	0	0
16.488	8.63	10.74	1	0	0
18.532	8.62	10.73	1	0	0
20.583	8.6	10.73	1	0	0
22.63	8.59	10.72	1	0	0
24.677	8.57	10.72	1	0	0
26.741	8.55	10.7	1	0	0
28.788	8.54	10.69	1	0	0
30.835	8.52	10.69	1	0	0
32.883	8.51	10.68	1	0	0
34.93	8.5	10.68	1	0	0
36.977	8.48	10.67	1	0	0
39.025	8.47	10.66	1	0	0
41.071	8.45	10.66	1	0	0
43.12	8.44	10.65	1	0	0
45.169	8.42	10.65	1	0	0
47.214	8.4	10.64	1	0	0
49.262	8.39	10.63	1	0	0
51.309	8.37	10.62	1	0	0
53.356	8.36	10.61	1	0	0
55.404	8.34	10.61	1	0	0
57.451	8.33	10.6	1	0	0
59.499	8.31	10.59	1	0	0
61.557	8.3	10.59	1	0	0
63.609	8.29	10.58	1	0	0
65.656	8.27	10.58	1	0	0
67.704	8.25	10.57	1	0	0
69.751	8.24	10.56	1	0	0
71.798	8.22	10.55	1	0	0
73.848	8.21	10.54	1	0	0
75.893	8.19	10.54	1	0	0
77.94	8.17	10.53	1	0	0
79.988	8.16	10.52	1	0	0
82.031	8.14	10.51	1	0	0
84.082	8.13	10.51	1	0	0
86.129	8.11	10.5	1	0	0
88.177	8.09	10.49	1	0	0
90.224	8.09	10.48	1	0	0
92.272	8.07	10.48	1	0	0
94.314	8.06	10.47	1	0	0
96.366	8.04	10.47	1	0	0
98.414	8.02	10.46	1	0	0
100.461	8.01	10.45	1	0	0
102.506	7.99	10.44	1	0	0
104.559	7.98	10.43	1	0	0
106.603	7.96	10.43	1	0	0
108.65	7.94	10.42	1	0	0
110.696	7.93	10.41	1	0	0
112.761	7.92	10.41	1	0	0
114.808	7.91	10.39	1	0	0
116.855	7.89	10.39	1	0	0
118.903	7.87	10.37	1	0	0
120.948	7.86	10.36	1	0	0
122.998	7.84	10.36	1	0	0
125.045	7.83	10.35	1	0	0
127.092	7.82	10.35	1	0	0
129.139	7.8	10.33	1	0	0
131.186	7.79	10.32	1	0	0
133.229	7.77	10.32	1	0	0
135.284	7.76	10.3	1	0	0
137.329	7.74	10.3	1	0	0
139.371	7.73	10.29	1	0	0
141.423	7.72	10.28	1	0	0
143.47	7.7	10.27	1	0	0
145.517	7.69	10.26	1	0	0
147.56	7.67	10.26	1	0	0
149.612	7.66	10.25	1	0	0
151.66	7.65	10.23	1	0	0
153.706	7.63	10.23	1	0	0
155.754	7.62	10.22	1	0	0
157.801	7.6	10.22	1	0	0
159.849	7.59	10.21	1	0	0
161.896	7.58	10.2	1	0	0
163.962	7.56	10.19	1	0	0
166.007	7.55	10.18	1	0	0
168.054	7.53	10.18	1	0	0
170.101	7.51	10.16	1	0	0
172.148	7.51	10.15	1	0	0
174.196	7.49	10.15	1	0	0
176.243	7.48	10.14	1	0	0
178.29	7.46	10.14	1	0	0
180.338	7.44	10.13	1	0	0
182.385	7.44	10.11	1	0	0
184.432	7.42	10.11	1	0	0
186.478	7.41	10.1	1	0	0
188.527	7.39	10.1	1	0	0
190.573	7.37	10.08	1	0	0
192.622	7.36	10.07	1	0	0
194.671	7.35	10.07	1	0	0
196.716	7.34	10.05	1	0	0
198.764	7.32	10.05	1	0	0
200.811	7.3	10.03	1	0	0
202.858	7.29	10.02	1	0	0
204.906	7.27	10.02	1	0	0
206.953	7.26	10.01	1	0	0
209.001	7.25	10.0	1	0	0
