clock	watch	T_int	T_ext	T_ref
20200713 233046	11.331	34.86	30.17	33.736
20200713 233048	13.459	34.82	30.17	33.724
20200713 233050	15.584	34.81	30.17	33.718
20200713 233052	17.714	34.77	30.17	33.7
20200713 233054	19.841	34.74	30.17	33.695
20200713 233056	21.967	34.72	30.17	33.683
20200713 233058	24.096	34.69	30.17	33.665
20200713 233101	26.224	34.65	30.17	33.654
20200713 233103	28.351	34.63	30.17	33.636
20200713 233105	30.479	34.6	30.17	33.624
20200713 233107	32.606	34.57	30.17	33.618
20200713 233109	34.734	34.55	30.17	33.601
20200713 233111	36.861	34.51	30.17	33.589
20200713 233113	38.989	34.48	30.16	33.577
20200713 233115	41.111	34.46	30.16	33.56
20200713 233118	43.238	34.43	30.19	33.548
20200713 233120	45.371	34.4	30.21	33.531
20200713 233122	47.499	34.38	30.16	33.513
20200713 233124	49.626	34.35	30.12	33.501
20200713 233126	51.753	34.31	30.04	33.495
20200713 233128	53.881	34.29	29.99	33.49
20200713 233130	56.009	34.26	29.96	33.466
20200713 233132	58.131	34.23	29.95	33.449
20200713 233135	60.258	34.21	29.97	33.443
20200713 233137	62.391	34.17	29.97	33.414
20200713 233139	64.514	34.14	29.98	33.402
20200713 233141	66.646	34.12	29.99	33.39
20200713 233143	68.772	34.09	29.99	33.373
20200713 233145	70.896	34.06	29.99	33.355
20200713 233147	73.028	34.04	30.0	33.343
20200713 233149	75.171	34.01	30.0	33.326
20200713 233152	77.299	33.97	30.01	33.308
20200713 233154	79.427	33.95	30.01	33.285
20200713 233156	81.57	33.92	30.01	33.273
20200713 233158	83.698	33.89	30.01	33.256
20200713 233200	85.825	33.87	30.01	33.238
20200713 233202	87.965	33.84	30.01	33.227
20200713 233204	90.096	33.8	30.01	33.215
20200713 233207	92.223	33.79	30.01	33.186
20200713 233209	94.366	33.75	30.01	33.174
20200713 233211	96.495	33.72	30.0	33.156
20200713 233213	98.622	33.7	29.99	33.139
20200713 233215	100.764	33.67	29.99	33.121
20200713 233217	102.893	33.63	29.98	33.11
20200713 233219	105.02	33.62	29.98	33.086
20200713 233221	107.147	33.58	29.98	33.069
20200713 233224	109.27	33.55	29.97	33.057
20200713 233226	111.401	33.53	29.96	33.045
20200713 233228	113.53	33.5	29.96	33.022
20200713 233230	115.657	33.47	29.95	33.004
20200713 233232	117.785	33.45	29.94	32.987
20200713 233234	119.913	33.42	29.94	32.969
20200713 233236	122.04	33.4	29.93	32.946
20200713 233238	124.164	33.37	29.92	32.934
20200713 233241	126.295	33.34	29.91	32.917
20200713 233243	128.418	33.32	29.9	32.899
20200713 233245	130.55	33.29	29.89	32.882
20200713 233247	132.678	33.25	29.89	32.864
20200713 233249	134.805	33.24	29.87	32.841
20200713 233251	136.93	33.2	29.85	32.829
20200713 233253	139.06	33.17	29.85	32.812
20200713 233256	141.184	33.15	29.83	32.788
20200713 233258	143.315	33.12	29.82	32.777
20200713 233300	145.443	33.09	29.82	32.753
20200713 233302	147.57	33.07	29.81	32.742
20200713 233304	149.698	33.04	29.8	32.718
20200713 233306	151.821	33.0	29.8	32.701
20200713 233308	153.953	32.99	29.79	32.683
20200713 233310	156.08	32.96	29.78	32.666
20200713 233313	158.202	32.92	29.77	32.648
20200713 233315	160.335	32.91	29.76	32.631
20200713 233317	162.462	32.87	29.76	32.613
20200713 233319	164.587	32.84	29.75	32.59
20200713 233321	166.716	32.82	29.74	32.572
20200713 233323	168.845	32.79	29.73	32.549
20200713 233325	170.973	32.76	29.71	32.537
20200713 233327	173.098	32.74	29.7	32.52
20200713 233330	175.228	32.71	29.7	32.496
20200713 233332	177.355	32.67	29.69	32.479
20200713 233334	179.483	32.66	29.68	32.461
20200713 233336	181.61	32.62	29.68	32.438
20200713 233338	183.738	32.59	29.67	32.415
20200713 233340	185.861	32.57	29.64	32.397
20200713 233342	187.99	32.54	29.64	32.38
20200713 233344	190.12	32.51	29.62	32.362
20200713 233347	192.247	32.49	29.6	32.345
20200713 233349	194.375	32.46	29.6	32.321
20200713 233351	196.501	32.42	29.58	32.304
20200713 233353	198.63	32.41	29.57	32.286
20200713 233355	200.757	32.37	29.56	32.263
20200713 233357	202.885	32.34	29.54	32.246
20200713 233359	205.01	32.32	29.53	32.228
20200713 233401	207.139	32.29	29.53	32.216
20200713 233404	209.265	32.26	29.51	32.193
20200713 233406	211.395	32.24	29.5	32.17
20200713 233408	213.523	32.21	29.5	32.152
20200713 233410	215.65	32.18	29.48	32.135
20200713 233412	217.776	32.16	29.48	32.111
20200713 233414	219.905	32.13	29.47	32.1
20200713 233416	222.032	32.09	29.46	32.071
20200713 233418	224.156	32.08	29.45	32.059
20200713 233421	226.288	32.05	29.45	32.03
20200713 233423	228.415	32.01	29.44	32.012
20200713 233425	230.543	32.0	29.43	31.995
20200713 233427	232.67	31.96	29.43	31.977
20200713 233429	234.795	31.93	29.41	31.954
20200713 233431	236.925	31.91	29.4	31.936
20200713 233433	239.066	31.88	29.4	31.913
20200713 233436	241.192	31.85	29.39	31.896
20200713 233438	243.318	31.83	29.38	31.878
20200713 233440	245.451	31.8	29.37	31.855
20200713 233442	247.578	31.77	29.35	31.832
