clock	watch	T_int	T_ext	T_ref
20200713 224331	11.329	12.57	11.37	11.751
20200713 224333	13.457	12.55	11.39	11.758
20200713 224335	15.584	12.52	11.4	11.778
20200713 224338	17.708	12.51	11.42	11.799
20200713 224340	19.839	12.49	11.44	11.813
20200713 224342	21.966	12.47	11.44	11.826
20200713 224344	24.094	12.46	11.46	11.847
20200713 224346	26.221	12.44	11.48	11.868
20200713 224348	28.349	12.42	11.48	11.868
20200713 224350	30.476	12.4	11.51	11.881
20200713 224352	32.603	12.38	11.53	11.895
20200713 224355	34.729	12.36	11.53	11.909
20200713 224357	36.855	12.35	11.55	11.916
20200713 224359	38.986	12.32	11.56	11.936
20200713 224401	41.11	12.3	11.56	11.95
20200713 224403	43.239	12.29	11.58	11.957
20200713 224405	45.363	12.26	11.59	11.964
20200713 224407	47.493	12.24	11.6	11.977
20200713 224409	49.623	12.23	11.61	11.984
20200713 224412	51.751	12.21	11.63	11.998
20200713 224414	53.875	12.18	11.63	11.998
20200713 224416	56.005	12.17	11.64	12.005
20200713 224418	58.133	12.15	11.64	12.025
20200713 224420	60.256	12.13	11.65	12.025
20200713 224422	62.385	12.11	11.66	12.032
20200713 224424	64.511	12.09	11.66	12.046
20200713 224426	66.64	12.07	11.67	12.053
20200713 224429	68.768	12.06	11.69	12.06
20200713 224431	70.898	12.03	11.69	12.06
20200713 224433	73.021	12.01	11.7	12.067
20200713 224435	75.171	12.0	11.71	12.074
20200713 224437	77.291	11.98	11.72	12.08
20200713 224439	79.419	11.95	11.72	12.087
20200713 224441	81.562	11.94	11.73	12.087
20200713 224444	83.695	11.92	11.74	12.094
20200713 224446	85.823	11.9	11.74	12.087
20200713 224448	87.966	11.89	11.75	12.094
20200713 224450	90.093	11.87	11.75	12.101
20200713 224452	92.22	11.84	11.75	12.101
20200713 224454	94.364	11.83	11.76	12.108
20200713 224456	96.486	11.81	11.76	12.108
20200713 224458	98.618	11.79	11.77	12.115
20200713 224501	100.745	11.78	11.77	12.115
20200713 224503	102.867	11.75	11.77	12.115
20200713 224505	104.995	11.73	11.77	12.115
20200713 224507	107.125	11.72	11.78	12.121
20200713 224509	109.25	11.7	11.78	12.115
20200713 224511	111.382	11.68	11.78	12.121
20200713 224513	113.508	11.67	11.79	12.121
20200713 224515	115.631	11.64	11.79	12.121
20200713 224518	117.76	11.62	11.79	12.121
20200713 224520	119.892	11.61	11.79	12.121
20200713 224522	122.018	11.59	11.79	12.128
20200713 224524	124.147	11.57	11.79	12.121
20200713 224526	126.274	11.55	11.8	12.115
20200713 224528	128.402	11.53	11.8	12.115
20200713 224530	130.528	11.51	11.8	12.108
20200713 224532	132.656	11.5	11.8	12.115
20200713 224535	134.783	11.48	11.81	12.115
20200713 224537	136.906	11.46	11.8	12.108
20200713 224539	139.038	11.45	11.8	12.115
20200713 224541	141.165	11.42	11.8	12.108
20200713 224543	143.293	11.4	11.8	12.108
20200713 224545	145.42	11.39	11.8	12.101
20200713 224547	147.547	11.37	11.8	12.101
20200713 224550	149.67	11.35	11.8	12.101
20200713 224552	151.802	11.34	11.8	12.094
20200713 224554	153.93	11.32	11.79	12.087
20200713 224556	156.055	11.29	11.79	12.087
20200713 224558	158.185	11.28	11.79	12.087
20200713 224600	160.31	11.26	11.79	12.08
20200713 224602	162.439	11.24	11.79	12.08
20200713 224604	164.566	11.23	11.79	12.067
20200713 224607	166.694	11.21	11.79	12.067
20200713 224609	168.821	11.19	11.79	12.06
20200713 224611	170.948	11.17	11.78	12.053
20200713 224613	173.076	11.15	11.79	12.053
20200713 224615	175.203	11.13	11.78	12.053
20200713 224617	177.329	11.12	11.78	12.04
20200713 224619	179.458	11.1	11.77	12.04
20200713 224621	181.586	11.08	11.77	12.025
20200713 224624	183.713	11.07	11.76	12.025
20200713 224626	185.84	11.05	11.76	12.012
20200713 224628	187.968	11.04	11.75	12.012
20200713 224630	190.111	11.01	11.75	12.005
20200713 224632	192.238	10.99	11.75	11.998
20200713 224634	194.367	10.98	11.75	11.991
20200713 224636	196.507	10.96	11.74	11.984
20200713 224638	198.637	10.94	11.74	11.977
20200713 224641	200.765	10.93	11.74	11.977
20200713 224643	202.905	10.91	11.73	11.97
20200713 224645	205.036	10.89	11.73	11.957
20200713 224647	207.163	10.88	11.73	11.957
20200713 224649	209.29	10.85	11.72	11.943
20200713 224651	211.418	10.83	11.72	11.936
20200713 224653	213.545	10.82	11.71	11.929
20200713 224656	215.673	10.8	11.7	11.922
20200713 224658	217.8	10.78	11.7	11.916
20200713 224700	219.928	10.77	11.7	11.902
20200713 224702	222.052	10.75	11.69	11.895
20200713 224704	224.182	10.73	11.69	11.888
20200713 224706	226.306	10.72	11.68	11.881
20200713 224708	228.437	10.7	11.68	11.874
20200713 224710	230.564	10.68	11.68	11.868
20200713 224713	232.692	10.67	11.67	11.861
20200713 224715	234.817	10.64	11.67	11.847
20200713 224717	236.946	10.62	11.66	11.84
20200713 224719	239.073	10.61	11.65	11.826
20200713 224721	241.201	10.59	11.65	11.826
20200713 224723	243.328	10.57	11.64	11.813
20200713 224725	245.452	10.56	11.64	11.806
20200713 224727	247.583	10.54	11.63	11.799
20200713 224730	249.71	10.52	11.63	11.792
20200713 224732	251.838	10.5	11.63	11.778
20200713 224734	253.965	10.48	11.63	11.765
20200713 224736	256.088	10.46	11.62	11.758
20200713 224738	258.22	10.45	11.61	11.751
20200713 224740	260.343	10.43	11.61	11.737
20200713 224742	262.47	10.41	11.6	11.724
20200713 224744	264.601	10.4	11.59	11.724
20200713 224747	266.73	10.38	11.59	11.71
20200713 224749	268.853	10.36	11.58	11.696
20200713 224751	271.0	10.35	11.57	11.689
20200713 224753	273.129	10.33	11.57	11.682
20200713 224755	275.251	10.31	11.56	11.669
20200713 224757	277.4	10.3	11.55	11.669
20200713 224759	279.527	10.27	11.54	11.648
20200713 224801	281.655	10.25	11.53	11.641
20200713 224804	283.782	10.24	11.52	11.634
20200713 224806	285.909	10.22	11.52	11.621
20200713 224808	288.037	10.2	11.51	11.614
20200713 224810	290.164	10.19	11.5	11.6
20200713 224812	292.292	10.17	11.5	11.586
20200713 224814	294.417	10.15	11.49	11.579
20200713 224816	296.546	10.14	11.48	11.565
20200713 224819	298.674	10.12	11.48	11.558
20200713 224821	300.802	10.1	11.48	11.544
20200713 224823	302.929	10.09	11.46	11.53
20200713 224825	305.055	10.07	11.46	11.523
20200713 224827	307.184	10.05	11.45	11.503
20200713 224829	309.312	10.04	11.44	11.496
20200713 224831	311.439	10.02	11.43	11.489
20200713 224833	313.567	10.0	11.42	11.475
20200713 224836	315.694	9.99	11.42	11.468
20200713 224838	317.821	9.97	11.42	11.454
20200713 224840	319.963	9.95	11.41	11.447
20200713 224842	322.093	9.94	11.4	11.434
20200713 224844	324.22	9.92	11.4	11.413
20200713 224846	326.363	9.9	11.39	11.413
20200713 224848	328.491	9.89	11.37	11.392
20200713 224850	330.615	9.87	11.37	11.371
20200713 224853	332.761	9.85	11.36	11.371
20200713 224855	334.889	9.84	11.35	11.371
20200713 224857	337.017	9.82	11.35	11.351
20200713 224859	339.16	9.79	11.34	11.344
20200713 224901	341.287	9.78	11.33	11.323
20200713 224903	343.415	9.77	11.33	11.316
20200713 224905	345.558	9.75	11.32	11.302
20200713 224908	347.686	9.74	11.3	11.295
20200713 224910	349.813	9.72	11.3	11.282
20200713 224912	351.936	9.7	11.29	11.268
20200713 224914	354.067	9.69	11.28	11.254
20200713 224916	356.195	9.67	11.28	11.247
20200713 224918	358.323	9.65	11.26	11.226
20200713 224920	360.449	9.64	11.25	11.219
20200713 224922	362.578	9.62	11.25	11.205
20200713 224925	364.705	9.6	11.24	11.192
20200713 224927	366.833	9.59	11.23	11.185
20200713 224929	368.96	9.57	11.23	11.164
20200713 224931	371.088	9.55	11.21	11.164
20200713 224933	373.215	9.54	11.2	11.142
20200713 224935	375.338	9.52	11.2	11.135
20200713 224937	377.454	9.5	11.19	11.122
20200713 224939	379.581	9.49	11.18	11.115
20200713 224942	381.709	9.47	11.18	11.101
20200713 224944	383.833	9.45	11.17	11.087
20200713 224946	385.964	9.44	11.16	11.073
20200713 224948	388.091	9.42	11.16	11.066
20200713 224950	390.214	9.4	11.14	11.052
20200713 224952	392.341	9.39	11.13	11.038
20200713 224954	394.455	9.38	11.13	11.024
20200713 224956	396.584	9.37	11.12	11.017
20200713 224959	398.713	9.35	11.1	10.996
20200713 225001	400.836	9.33	11.1	10.982
20200713 225003	402.964	9.32	11.09	10.968
20200713 225005	405.094	9.3	11.08	10.954
20200713 225007	407.223	9.28	11.07	10.954
20200713 225009	409.35	9.27	11.06	10.933
20200713 225011	411.477	9.25	11.05	10.933
20200713 225013	413.6	9.23	11.05	10.912
20200713 225016	415.711	9.22	11.04	10.899
20200713 225018	417.844	9.2	11.02	10.892
20200713 225020	419.971	9.18	11.02	10.878
20200713 225022	422.096	9.17	11.01	10.864
20200713 225024	424.226	9.15	11.0	10.85
20200713 225026	426.354	9.13	11.0	10.836
20200713 225028	428.48	9.12	10.99	10.829
20200713 225030	430.609	9.1	10.99	10.808
20200713 225033	432.735	9.08	10.97	10.801
20200713 225035	434.864	9.07	10.96	10.794
20200713 225037	436.991	9.05	10.96	10.78
20200713 225039	439.119	9.03	10.94	10.752
20200713 225041	441.245	9.02	10.93	10.759
20200713 225043	443.373	9.0	10.92	10.738
20200713 225045	445.5	8.98	10.91	10.724
20200713 225047	447.629	8.97	10.9	10.717
20200713 225050	449.751	8.95	10.89	10.696
20200713 225052	451.868	8.93	10.88	10.689
20200713 225054	453.995	8.92	10.87	10.674
20200713 225056	456.123	8.9	10.86	10.66
20200713 225058	458.25	8.88	10.85	10.653
20200713 225100	460.378	8.87	10.84	10.632
20200713 225102	462.5	8.86	10.84	10.625
20200713 225104	464.632	8.84	10.82	10.618
20200713 225107	466.76	8.83	10.81	10.597
20200713 225109	468.888	8.81	10.81	10.583
20200713 225111	471.013	8.79	10.8	10.576
20200713 225113	473.14	8.78	10.78	10.562
20200713 225115	475.27	8.76	10.78	10.548
20200713 225117	477.393	8.74	10.77	10.534
20200713 225119	479.525	8.73	10.75	10.52
20200713 225121	481.652	8.71	10.75	10.513
20200713 225124	483.796	8.69	10.74	10.492
20200713 225126	485.923	8.68	10.72	10.485
20200713 225128	488.051	8.66	10.72	10.464
20200713 225130	490.193	8.65	10.71	10.457
20200713 225132	492.319	8.64	10.7	10.443
20200713 225134	494.444	8.62	10.7	10.428
20200713 225136	496.558	8.6	10.69	10.414
20200713 225139	498.688	8.59	10.67	10.407
20200713 225141	500.816	8.57	10.67	10.386
20200713 225143	502.943	8.55	10.66	10.379
20200713 225145	505.071	8.54	10.64	10.372
20200713 225147	507.197	8.52	10.64	10.351
20200713 225149	509.325	8.5	10.63	10.337
20200713 225151	511.453	8.49	10.61	10.33
20200713 225153	513.577	8.47	10.61	10.316
20200713 225156	515.704	8.45	10.6	10.309
20200713 225158	517.835	8.45	10.59	10.288
20200713 225200	519.963	8.43	10.59	10.281
20200713 225202	522.09	8.41	10.57	10.267
20200713 225204	524.218	8.4	10.56	10.245
20200713 225206	526.34	8.38	10.55	10.238
20200713 225208	528.454	8.36	10.54	10.231
20200713 225210	530.584	8.35	10.53	10.209
20200713 225213	532.712	8.33	10.53	10.195
20200713 225215	534.839	8.32	10.52	10.181
20200713 225217	536.982	8.3	10.5	10.174
20200713 225219	539.11	8.28	10.5	10.16
20200713 225221	541.237	8.27	10.49	10.146
20200713 225223	543.376	8.25	10.47	10.131
