clock	watch	T_int	T_ext	T_ref
20200714 073059	13.38	16.98	20.07	19.034
20200714 073101	15.506	16.95	20.04	19.022
20200714 073103	17.65	16.94	20.02	18.997
20200714 073105	19.777	16.91	20.01	18.972
20200714 073108	21.904	16.89	19.99	18.96
20200714 073110	24.048	16.87	19.96	18.929
20200714 073112	26.171	16.85	19.96	18.917
20200714 073114	28.303	16.82	19.93	18.892
20200714 073116	30.446	16.81	19.91	18.873
20200714 073118	32.572	16.79	19.9	18.849
20200714 073120	34.695	16.76	19.88	18.83
20200714 073122	36.826	16.75	19.86	18.818
20200714 073125	38.952	16.72	19.85	18.793
20200714 073127	41.082	16.7	19.83	18.774
20200714 073129	43.206	16.68	19.81	18.75
20200714 073131	45.335	16.66	19.8	18.731
20200714 073133	47.461	16.63	19.78	18.712
20200714 073135	49.59	16.62	19.75	18.694
20200714 073137	51.717	16.59	19.75	18.669
20200714 073139	53.844	16.57	19.72	18.65
20200714 073142	55.971	16.55	19.7	18.631
20200714 073144	58.099	16.53	19.7	18.613
20200714 073146	60.226	16.5	19.67	18.594
20200714 073148	62.349	16.49	19.65	18.569
20200714 073150	64.481	16.46	19.64	18.544
20200714 073152	66.608	16.44	19.62	18.532
20200714 073154	68.731	16.43	19.59	18.507
20200714 073156	70.86	16.4	19.59	18.494
20200714 073159	73.005	16.38	19.56	18.47
20200714 073201	75.133	16.36	19.54	18.445
20200714 073203	77.259	16.34	19.53	18.432
20200714 073205	79.387	16.31	19.51	18.407
20200714 073207	81.514	16.3	19.48	18.389
20200714 073209	83.64	16.27	19.48	18.37
20200714 073211	85.764	16.25	19.46	18.358
20200714 073214	87.895	16.24	19.43	18.326
20200714 073216	90.022	16.21	19.43	18.308
20200714 073218	92.15	16.19	19.41	18.289
20200714 073220	94.277	16.17	19.38	18.27
20200714 073222	96.404	16.15	19.38	18.251
20200714 073224	98.531	16.12	19.35	18.226
20200714 073226	100.658	16.11	19.33	18.201
20200714 073228	102.785	16.08	19.32	18.189
20200714 073231	104.913	16.06	19.3	18.17
20200714 073233	107.04	16.05	19.28	18.151
20200714 073235	109.167	16.02	19.27	18.126
20200714 073237	111.29	16.0	19.25	18.108
20200714 073239	113.422	15.98	19.23	18.089
20200714 073241	115.565	15.96	19.22	18.07
20200714 073243	117.691	15.94	19.2	18.058
20200714 073245	119.817	15.92	19.17	18.033
20200714 073248	121.943	15.9	19.17	18.014
20200714 073250	124.073	15.88	19.14	17.983
20200714 073252	126.2	15.86	19.12	17.97
20200714 073254	128.328	15.84	19.12	17.951
20200714 073256	130.455	15.81	19.09	17.933
20200714 073258	132.583	15.8	19.07	17.914
20200714 073300	134.709	15.78	19.07	17.895
20200714 073302	136.834	15.76	19.04	17.882
20200714 073305	138.962	15.74	19.02	17.857
20200714 073307	141.091	15.71	19.01	17.838
