state	P_set	T_set	time	wl_ex	wl_em	slit_ex	slit_em	n_read	msg
1	625	0	300	410	440	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
1	625	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
2	625	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
2	625	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
3	625	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
3	625	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
4	625	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
4	625	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
5	625	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
5	625	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
6	625	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
6	625	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
7	562.5	0	60	410	440	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
7	562.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
8	562.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
8	562.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
9	562.5	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
9	562.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
10	562.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
10	562.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
11	562.5	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
11	562.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
12	562.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
12	562.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
13	500	0	60	410	440	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
13	500	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
14	500	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
14	500	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
15	500	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
15	500	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
16	500	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
16	500	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
17	500	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
17	500	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
18	500	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
18	500	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
19	437.5	0	60	410	440	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
19	437.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
20	437.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
20	437.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
21	437.5	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
21	437.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
22	437.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
22	437.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
23	437.5	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
23	437.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
24	437.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
24	437.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
25	375	0	60	410	440	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
25	375	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
26	375	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
26	375	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
27	375	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
27	375	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
28	375	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
28	375	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
29	375	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
29	375	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
30	375	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
30	375	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
31	312.5	0	60	410	440	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
31	312.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
32	312.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
32	312.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
33	312.5	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
33	312.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
34	312.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
34	312.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
35	312.5	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
35	312.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
36	312.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
36	312.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
37	250	0	60	410	440	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
37	250	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
38	250	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
38	250	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
39	250	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
39	250	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
40	250	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
40	250	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
41	250	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
41	250	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
42	250	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
42	250	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
43	187.5	0	60	410	440	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
43	187.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
44	187.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
44	187.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
45	187.5	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
45	187.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
46	187.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
46	187.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
47	187.5	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
47	187.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
48	187.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
48	187.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
49	125	0	60	410	440	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
49	125	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
50	125	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
50	125	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
51	125	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
51	125	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
52	125	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
52	125	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
53	125	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
53	125	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
54	125	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
54	125	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
55	62.5	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
55	62.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
56	62.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
56	62.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
57	62.5	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
57	62.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
58	62.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
58	62.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
59	62.5	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
59	62.5	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
60	62.5	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
60	62.5	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
61	1	0	60	410	440	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
61	1	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:0_cyc:0
62	1	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
62	1	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:0_cyc:0
63	1	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
63	1	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:1_cyc:0
64	1	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
64	1	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:1_cyc:0
65	1	0	0	410	440	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
65	1	0	0	410	490	3	3	7	tdir:up_pdir:dn_rep:2_cyc:0
66	1	0	0	340	440	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
66	1	0	0	340	490	1.5	3	7	tdir:up_pdir:dn_rep:2_cyc:0
67	1	0	0	410	440	3	3	7	tdir:up_pdir:up_rep:0_cyc:0
67	1	0	0	410	490	3	3	7	tdir:up_pdir:up_rep:0_cyc:0
68	1	0	0	340	440	1.5	3	7	tdir:up_pdir:up_rep:0_cyc:0
68	1	0	0	340	490	1.5	3	7	tdir:up_pdir:up_rep:0_cyc:0
